rank,h11,poly_idx,favorable,h11_eff,tier2_score,clean_h0_3,h0_ge3,max_h0,n_chi3,n_k3_fib,n_ell_fib,d3_min,d3_max,d3_n_distinct,d3_clean_values,n_overflow,elapsed_s
1,15,36,False,13,41,107,310,11,16474,3,1,-46.0,88.0,125,-40|-39|-33|-30|-29|-27|-26|-25|-24|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-6|-5|-4|-3|0,0,226.2
2,16,52,False,12,41,94,388,4,9966,3,1,-54.0,108.0,139,-48|-38|-36|-34|-32|-30|-28|-26|-25|-24|-23|-22|-21|-20|-18|-16|-15|-14|-13|-12|-10|-8|-6|-4|-2,0,130.6
3,17,30,False,11,41,31,170,4,4534,4,1,-54.0,90.0,134,-40|-36|-31|-28|-26|-24|-22|-20|-17|-16|-13|-12|-11|-9|-8|-6|-4,0,60.1
4,17,36,False,15,40,40,122,16,2740,3,1,-46.0,80.0,107,-28|-18|-17|-16|-15|-14|-13|-12|-10|-8|-7|-4|-2|0,0,36.5
5,19,50,False,14,39,25,130,10,1550,2,1,-64.0,108.0,133,-36|-32|-30|-29|-28|-27|-25|-24|-23|-22|-20|-19|-18|-16|-11|-10|0,0,25.1
6,15,31,True,15,38,34,190,10,2770,2,1,-46.0,89.0,109,-41|-39|-35|-27|-22|-20|-19|-18|-17|-15|-14|-13|-9|-8|-7|-5|-4|0,0,38.2
7,18,62,False,14,38,16,80,4,1552,4,1,-40.0,83.0,101,-21|-19|-14|-12|-11|-10|-9|-8,0,25.3
8,17,5,False,9,38,13,118,16,1636,4,1,-74.0,108.0,123,-35|-29|-16|-15|-12|-8,0,22.5
9,15,10,False,14,36,11,36,4,1964,2,1,-40.0,68.0,93,-24|-20|-16|-14|-13|-11|-8,0,28.5
10,13,0,True,13,35,86,380,10,11114,1,0,-57.0,99.0,144,-51|-47|-42|-41|-39|-38|-36|-35|-34|-33|-32|-29|-28|-27|-26|-24|-23|-22|-17|-16|-15|-13|-12|-11|-9|-8|-7|-6|-5|-4,0,187.2
11,17,47,False,13,35,52,414,18,13262,1,0,-59.0,92.0,139,-39|-34|-33|-31|-29|-28|-26|-25|-24|-23|-22|-21|-19|-16|-15|-13|-12|-9|-8|-7|-6|-3,0,180.9
12,17,48,False,13,35,49,414,20,13456,1,0,-58.0,97.0,142,-43|-33|-31|-30|-29|-28|-27|-24|-23|-22|-21|-20|-18|-16|-15|-14|-12|-11|-10|-9|-8|-2,0,197.1
13,18,68,False,16,34,59,152,10,3052,1,0,-54.0,81.0,91,-34|-24|-18|-16|-15|-14|-13|-12|-11|-10|-9|-8|-5|-4|-3,0,43.3
14,17,92,False,16,34,44,140,6,3006,1,0,-54.0,83.0,117,-27|-26|-24|-23|-22|-21|-20|-19|-16|-15|-14|-13|-10|-9|-8|-7|-6,0,46.5
15,16,6,True,16,34,35,170,7,2840,1,0,-54.0,82.0,116,-33|-28|-27|-26|-21|-20|-19|-17|-16|-15|-14|-13|-10|-9|-8|-7|-6|-1|0,0,45.1
16,16,68,True,16,34,34,92,4,2812,1,0,-50.0,94.0,108,-41|-38|-36|-27|-25|-19|-18|-17|-16|-9|-7|-4,0,43.6
17,16,65,True,16,34,32,78,4,2594,1,0,-54.0,92.0,107,-41|-36|-27|-25|-20|-19|-18|-17|-16|-8|-6|-4,0,41.6
18,19,70,False,15,34,29,180,6,3024,1,0,-54.0,81.0,120,-32|-28|-21|-20|-19|-18|-16|-14|-13|-12|-11|-8|-5,0,40.8
19,16,70,True,16,34,29,72,4,2638,1,0,-54.0,75.0,105,-40|-27|-26|-19|-18|-17|-16|-15|-11|-9|-4,0,42.4
20,18,11,False,16,34,20,86,8,2414,1,0,-40.0,85.0,106,-40|-36|-33|-27|-26|-25|-19|-8|-7|-3|0,0,37.7
21,17,44,False,16,34,8,22,4,2792,4,1,-32.0,81.0,89,-32|-24|-19|-14|-12,0,40.0
22,19,73,False,18,33,44,104,10,1932,1,0,-48.0,60.0,80,-21|-20|-19|-18|-16|-15|-14|-13|-12|-8|-5|-4|-3|-2|-1|0,0,29.3
23,17,87,True,17,33,25,50,3,1292,1,0,-24.0,51.0,66,-24|-17|-14|-13|-12|-11|-10|-9|-8|-7|-6,0,18.7
24,16,88,False,14,32,19,100,18,1500,1,0,-51.0,88.0,120,-41|-40|-39|-35|-26|-24|-23|-20|-19|-11|-10|-9|-8|-7|-3,0,26.7
25,15,79,True,15,32,5,26,4,2392,2,1,-46.0,76.0,89,-33|-20|-14|-11|-8,0,38.1
