h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
18,21,0,True,18,2510,2510,0,-1,2510,skip
18,21,1,False,10,1844,656,4,656,655,pass
18,21,2,True,18,2642,2642,0,-1,2642,skip
18,21,3,True,18,2674,2674,0,-1,2674,skip
18,21,4,True,18,1526,1526,0,-1,1526,skip
18,21,5,True,18,2004,2004,0,-1,2004,skip
18,21,6,False,12,1572,1,3,1,0,pass
18,21,7,True,18,1362,1362,0,-1,1362,skip
18,21,8,False,14,2138,5,4,5,4,pass
18,21,9,False,16,1510,27,3,27,26,pass
18,21,10,True,18,2348,2348,0,-1,2348,skip
18,21,11,False,16,994,17,3,17,16,pass
18,21,12,False,16,1444,191,3,191,190,pass
18,21,13,False,17,1816,199,3,199,198,pass
18,21,14,False,17,2074,2074,0,-1,2074,skip
18,21,15,False,17,1834,251,3,251,250,pass
18,21,16,True,18,2478,2478,0,-1,2478,skip
18,21,17,True,18,2228,2228,0,-1,2228,skip
18,21,18,True,18,1958,1958,0,-1,1958,skip
18,21,19,True,18,2624,2624,0,-1,2624,skip
18,21,20,True,18,2414,121,3,121,120,pass
18,21,21,True,18,2946,1,3,1,0,pass
18,21,22,True,18,2930,7,3,7,6,pass
18,21,23,False,15,2092,10,3,10,9,pass
18,21,24,False,15,1804,23,3,23,22,pass
18,21,25,False,16,1828,1,3,1,0,pass
18,21,26,False,17,2332,1,3,1,0,pass
18,21,27,True,18,2142,2142,0,-1,2142,skip
18,21,28,True,18,2162,2162,0,-1,2162,skip
18,21,29,False,17,1784,1784,0,-1,1784,skip
18,21,30,False,16,1510,1510,0,-1,1510,skip
18,21,31,False,14,1424,8,3,8,7,pass
18,21,32,False,14,1672,8,3,8,7,pass
18,21,33,False,15,1524,1524,0,-1,1524,skip
18,21,34,False,13,1344,1,3,1,0,pass
18,21,35,False,10,660,1,3,1,0,pass
18,21,36,False,10,828,1,3,1,0,pass
18,21,37,False,15,1886,1886,0,-1,1886,skip
18,21,38,True,18,2588,2588,0,-1,2588,skip
18,21,39,False,16,1164,1,3,1,0,pass
18,21,40,False,14,2104,1,3,1,0,pass
18,21,41,False,10,674,1,3,1,0,pass
18,21,42,False,15,2544,18,3,18,17,pass
18,21,43,False,16,1614,5,3,5,4,pass
18,21,44,True,18,2446,1,3,1,0,pass
18,21,45,False,15,2114,8,3,8,7,pass
18,21,46,False,16,1418,1,3,1,0,pass
18,21,47,False,16,1342,1,3,1,0,pass
18,21,48,False,17,1592,1592,0,-1,1592,skip
18,21,49,True,18,2300,1011,3,1011,1010,pass
18,21,50,True,18,2100,19,3,19,18,pass
18,21,51,False,14,1912,1912,0,-1,1912,skip
18,21,52,False,12,1246,1246,0,-1,1246,skip
18,21,53,True,18,1344,1,3,1,0,pass
18,21,54,False,10,748,1,3,1,0,pass
18,21,55,False,14,1818,1818,0,-1,1818,skip
18,21,56,False,16,1310,185,3,185,184,pass
18,21,57,False,12,1592,24,3,24,23,pass
18,21,58,False,16,2192,2192,0,-1,2192,skip
18,21,59,False,14,2420,14,3,14,13,pass
18,21,60,False,16,2098,2098,0,-1,2098,skip
18,21,61,False,14,2042,1451,3,1451,1450,pass
18,21,62,False,14,1552,1,3,1,0,pass
18,21,63,False,14,2212,181,4,181,180,pass
18,21,64,True,18,2078,2078,0,-1,2078,skip
18,21,65,True,18,2328,1,3,1,0,pass
18,21,66,False,16,2536,153,3,153,152,pass
18,21,67,False,16,1420,6,3,6,5,pass
18,21,68,False,16,1534,6,3,6,5,pass
18,21,69,False,15,2360,7,9,7,6,pass
18,21,70,True,18,1806,93,3,93,92,pass
18,21,71,False,17,1586,134,3,134,133,pass
18,21,72,False,15,1940,5,3,5,4,pass
18,21,73,True,18,1664,153,3,153,152,pass
18,21,74,False,15,1560,108,3,108,107,pass
18,21,75,False,15,2052,1,3,1,0,pass
18,21,76,False,14,1656,3,3,3,2,pass
18,21,77,False,16,986,986,0,-1,986,skip
18,21,78,True,18,1734,1734,0,-1,1734,skip
18,21,79,True,18,2198,2198,0,-1,2198,skip
18,21,80,True,18,1786,1786,0,-1,1786,skip
18,21,81,False,16,1654,99,3,99,98,pass
18,21,82,True,18,2204,2204,0,-1,2204,skip
18,21,83,True,18,1986,1986,0,-1,1986,skip
18,21,84,False,14,1574,1,3,1,0,pass
18,21,85,False,16,1128,1,3,1,0,pass
18,21,86,False,16,1076,63,3,63,62,pass
18,21,87,False,16,1540,1,3,1,0,pass
18,21,88,False,16,1346,55,3,55,54,pass
18,21,89,False,16,1374,1,3,1,0,pass
18,21,90,False,17,1456,9,3,9,8,pass
18,21,91,False,17,1494,1,3,1,0,pass
18,21,92,False,17,1782,1,3,1,0,pass
18,21,93,False,17,1564,1,3,1,0,pass
18,21,94,False,17,1490,1,3,1,0,pass
18,21,95,False,17,1564,293,3,293,292,pass
18,21,96,False,17,1780,1,3,1,0,pass
18,21,97,True,18,2028,5,3,5,4,pass
18,21,98,True,18,1936,5,3,5,4,pass
18,21,99,True,18,1844,1844,0,-1,1844,skip
