h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
18,21,100000,True,18,1928,1928,0,-1,1928,skip
18,21,100001,True,18,1848,1848,0,-1,1848,skip
18,21,100002,True,18,1912,1912,0,-1,1912,skip
18,21,100003,True,18,1876,1876,0,-1,1876,skip
18,21,100004,True,18,2090,2090,0,-1,2090,skip
18,21,100005,True,18,1752,163,3,163,162,pass
18,21,100006,True,18,1798,1798,0,-1,1798,skip
18,21,100007,True,18,1986,1986,0,-1,1986,skip
18,21,100008,True,18,2174,2174,0,-1,2174,skip
18,21,100009,True,18,2096,2096,0,-1,2096,skip
18,21,100010,True,18,1812,1812,0,-1,1812,skip
18,21,100011,True,18,1326,1326,0,-1,1326,skip
18,21,100012,True,18,2048,2048,0,-1,2048,skip
18,21,100013,True,18,2152,2152,0,-1,2152,skip
18,21,100014,True,18,1352,1,3,1,0,pass
18,21,100015,True,18,1786,1786,0,-1,1786,skip
18,21,100016,True,18,2080,2080,0,-1,2080,skip
18,21,100017,True,18,2224,2224,0,-1,2224,skip
18,21,100018,True,18,1888,1888,0,-1,1888,skip
18,21,100019,True,18,2136,2136,0,-1,2136,skip
18,21,100020,True,18,2452,857,3,857,856,pass
18,21,100021,False,17,1686,1686,0,-1,1686,skip
18,21,100022,True,18,1916,1916,0,-1,1916,skip
18,21,100023,True,18,2414,159,3,159,158,pass
18,21,100024,True,18,1692,71,3,71,70,pass
18,21,100025,True,18,2008,171,3,171,170,pass
18,21,100026,True,18,1930,149,3,149,148,pass
18,21,100027,True,18,2094,143,3,143,142,pass
18,21,100028,True,18,1658,1658,0,-1,1658,skip
18,21,100029,True,18,1888,1888,0,-1,1888,skip
18,21,100030,True,18,1896,1896,0,-1,1896,skip
18,21,100031,True,18,2008,2008,0,-1,2008,skip
18,21,100032,True,18,2310,2310,0,-1,2310,skip
18,21,100033,True,18,2122,199,3,199,198,pass
18,21,100034,True,18,1720,1720,0,-1,1720,skip
18,21,100035,True,18,1440,1440,0,-1,1440,skip
18,21,100036,False,17,1572,1572,0,-1,1572,skip
18,21,100037,True,18,1764,7,3,7,6,pass
18,21,100038,False,17,1724,1724,0,-1,1724,skip
18,21,100039,True,18,2026,2026,0,-1,2026,skip
18,21,100040,True,18,1740,103,3,103,102,pass
18,21,100041,True,18,2060,2060,0,-1,2060,skip
18,21,100042,True,18,2046,2046,0,-1,2046,skip
18,21,100043,True,18,1948,1948,0,-1,1948,skip
18,21,100044,True,18,1936,1936,0,-1,1936,skip
18,21,100045,True,18,1838,1838,0,-1,1838,skip
18,21,100046,True,18,1920,171,3,171,170,pass
18,21,100047,True,18,2018,2018,0,-1,2018,skip
18,21,100048,True,18,2028,209,3,209,208,pass
18,21,100049,True,18,1780,135,3,135,134,pass
18,21,100050,False,17,1816,7,3,7,6,pass
18,21,100051,True,18,1626,1626,0,-1,1626,skip
18,21,100052,True,18,1672,1672,0,-1,1672,skip
18,21,100053,True,18,1728,1728,0,-1,1728,skip
18,21,100054,True,18,1598,1598,0,-1,1598,skip
18,21,100055,True,18,1912,1912,0,-1,1912,skip
18,21,100056,True,18,2148,2148,0,-1,2148,skip
18,21,100057,True,18,1676,1676,0,-1,1676,skip
18,21,100058,True,18,1884,1884,0,-1,1884,skip
18,21,100059,True,18,2168,191,3,191,190,pass
18,21,100060,True,18,1560,1560,0,-1,1560,skip
18,21,100061,True,18,1854,83,3,83,82,pass
18,21,100062,True,18,2008,2008,0,-1,2008,skip
18,21,100063,True,18,1906,159,3,159,158,pass
18,21,100064,True,18,1958,519,3,519,518,pass
18,21,100065,True,18,1868,1868,0,-1,1868,skip
18,21,100066,True,18,1678,1678,0,-1,1678,skip
18,21,100067,True,18,2422,277,3,277,276,pass
18,21,100068,True,18,1824,147,3,147,146,pass
18,21,100069,True,18,2014,171,3,171,170,pass
18,21,100070,True,18,2070,139,3,139,138,pass
18,21,100071,True,18,1956,1956,0,-1,1956,skip
18,21,100072,True,18,1762,1762,0,-1,1762,skip
18,21,100073,True,18,2044,2044,0,-1,2044,skip
18,21,100074,True,18,1930,1930,0,-1,1930,skip
18,21,100075,True,18,1898,1898,0,-1,1898,skip
18,21,100076,True,18,1630,1630,0,-1,1630,skip
18,21,100077,True,18,2498,2498,0,-1,2498,skip
18,21,100078,True,18,1812,183,3,183,182,pass
18,21,100079,True,18,1906,1906,0,-1,1906,skip
18,21,100080,True,18,1722,1722,0,-1,1722,skip
18,21,100081,True,18,1914,1914,0,-1,1914,skip
18,21,100082,True,18,2348,2348,0,-1,2348,skip
18,21,100083,True,18,1978,1978,0,-1,1978,skip
18,21,100084,True,18,2100,5,3,5,4,pass
18,21,100085,True,18,1896,165,3,165,164,pass
18,21,100086,True,18,1906,7,3,7,6,pass
18,21,100087,True,18,2554,2554,0,-1,2554,skip
18,21,100088,True,18,2388,245,3,245,244,pass
18,21,100089,True,18,2144,2144,0,-1,2144,skip
18,21,100090,True,18,1922,189,3,189,188,pass
18,21,100091,True,18,2012,2012,0,-1,2012,skip
18,21,100092,True,18,1748,1748,0,-1,1748,skip
18,21,100093,True,18,1598,119,3,119,118,pass
18,21,100094,True,18,1700,1700,0,-1,1700,skip
18,21,100095,True,18,2408,213,3,213,212,pass
18,21,100096,True,18,2134,2134,0,-1,2134,skip
18,21,100097,True,18,1990,1990,0,-1,1990,skip
18,21,100098,True,18,2264,2264,0,-1,2264,skip
18,21,100099,True,18,2044,199,3,199,198,pass
18,21,100100,True,18,1970,145,3,145,144,pass
18,21,100101,True,18,2508,2508,0,-1,2508,skip
18,21,100102,True,18,2372,2372,0,-1,2372,skip
18,21,100103,True,18,2234,2234,0,-1,2234,skip
18,21,100104,True,18,1960,1960,0,-1,1960,skip
18,21,100105,True,18,1908,1908,0,-1,1908,skip
18,21,100106,True,18,1804,1804,0,-1,1804,skip
18,21,100107,True,18,1958,153,3,153,152,pass
18,21,100108,True,18,1914,145,3,145,144,pass
18,21,100109,True,18,1776,175,3,175,174,pass
18,21,100110,True,18,2486,2486,0,-1,2486,skip
18,21,100111,True,18,1774,1774,0,-1,1774,skip
18,21,100112,True,18,1746,1746,0,-1,1746,skip
18,21,100113,True,18,1868,1868,0,-1,1868,skip
18,21,100114,True,18,1962,1962,0,-1,1962,skip
18,21,100115,True,18,2186,2186,0,-1,2186,skip
18,21,100116,True,18,1848,1848,0,-1,1848,skip
18,21,100117,True,18,1724,101,3,101,100,pass
18,21,100118,True,18,2230,2230,0,-1,2230,skip
18,21,100119,True,18,2230,199,3,199,198,pass
18,21,100120,True,18,1962,1962,0,-1,1962,skip
18,21,100121,True,18,1372,1372,0,-1,1372,skip
18,21,100122,True,18,1890,1890,0,-1,1890,skip
18,21,100123,True,18,1972,1972,0,-1,1972,skip
18,21,100124,True,18,2068,185,3,185,184,pass
18,21,100125,True,18,2164,2164,0,-1,2164,skip
18,21,100126,True,18,2002,2002,0,-1,2002,skip
18,21,100127,True,18,1616,1616,0,-1,1616,skip
18,21,100128,True,18,1806,1806,0,-1,1806,skip
18,21,100129,True,18,1852,187,3,187,186,pass
18,21,100130,True,18,1916,1916,0,-1,1916,skip
18,21,100131,True,18,1910,1910,0,-1,1910,skip
18,21,100132,True,18,1622,147,3,147,146,pass
18,21,100133,True,18,2044,125,3,125,124,pass
18,21,100134,True,18,1862,1862,0,-1,1862,skip
18,21,100135,True,18,1844,1844,0,-1,1844,skip
18,21,100136,True,18,1880,1880,0,-1,1880,skip
18,21,100137,True,18,2014,453,3,453,452,pass
18,21,100138,True,18,1526,1526,0,-1,1526,skip
18,21,100139,True,18,1660,1660,0,-1,1660,skip
