h11,h21,poly_idx,favorable,h11_eff,max_h0_025,n_chi3_025,n_dp,dp_types,n_k3_div,n_rigid,has_swiss,n_swiss,best_swiss_tau,best_swiss_ratio,sym_order,screen_score,elapsed,status,error
18,21,178,True,18,10,1276,4,dP4|dP8|dP7|dP4,0,18,False,0,,,1,23,0.3887057304382324,ok,
18,21,551,True,18,6,2226,3,dP4|dP6|dP4,3,15,False,0,,,1,16,1.2398681640625,ok,
18,21,1570,True,18,6,2014,10,dP6|dP8|dP8|dP5|dP4|dP5|dP5|dP4|dP4|dP4,1,17,True,3,1282.5,0.01895,1,30,3.0857138633728027,ok,
18,21,2476,True,18,7,1548,5,dP8|dP7|dP4|dP4|dP5,0,18,False,0,,,1,20,5.1854939460754395,ok,
18,21,3105,True,18,6,1326,2,dP7|dP5,3,15,True,2,154.0,0.00812,1,24,7.599390745162964,ok,
18,21,3432,True,18,6,1374,8,dP7|dP5|dP4|dP5|dP4|dP7|dP4|dP4,0,18,False,0,,,1,20,8.722314834594727,ok,
18,21,6183,True,18,7,1624,7,dP7|dP8|dP4|dP5|dP8|dP4|dP4,0,18,False,0,,,1,20,12.05503797531128,ok,
18,21,7069,True,18,6,1718,7,dP7|dP8|dP5|dP7|dP6|dP6|dP5,0,18,True,5,0.0,0.00000,1,30,13.952812671661377,ok,
18,21,7024,True,18,6,1494,4,dP8|dP7|dP7|dP5,1,17,True,3,185.9,0.00331,1,28,20.82200860977173,ok,
18,21,8607,True,18,6,1410,9,dP4|dP4|dP5|dP5|dP5|dP4|dP6|dP4|dP4,3,15,True,1,1.3,0.00030,1,30,27.006676197052002,ok,
18,21,12272,True,18,6,1732,7,dP6|dP6|dP4|dP8|dP6|dP5|dP4,0,18,False,0,,,1,20,33.184364557266235,ok,
18,21,12673,True,18,6,1432,5,dP4|dP6|dP6|dP6|dP4,1,17,True,2,2139.5,0.02223,1,30,35.9346125125885,ok,
18,21,12430,True,18,6,1716,6,dP8|dP8|dP5|dP5|dP7|dP4,0,18,False,0,,,1,20,39.381792068481445,ok,
18,21,17319,True,18,6,2032,7,dP8|dP7|dP8|dP6|dP7|dP5|dP6,0,18,True,5,21.0,0.00007,1,30,30.53141760826111,ok,
18,21,12723,True,18,6,1592,5,dP6|dP6|dP4|dP5|dP4,1,17,True,3,5980.0,0.02916,1,30,39.23184657096863,ok,
18,21,16290,True,18,7,1632,4,dP7|dP6|dP5|dP5,0,18,True,2,150.0,0.01600,1,28,46.68427515029907,ok,
18,21,17932,True,18,7,1828,5,dP7|dP4|dP6|dP8|dP7,0,18,False,0,,,1,20,52.902971029281616,ok,
18,21,15236,True,18,6,2286,11,dP5|dP6|dP6|dP4|dP6|dP8|dP8|dP6|dP4|dP4|dP7,0,18,False,0,,,1,20,46.60999131202698,ok,
18,21,17630,True,18,7,1476,7,dP7|dP8|dP8|dP7|dP4|dP5|dP4,0,18,False,0,,,1,20,57.18014931678772,ok,
18,21,17309,True,18,6,1828,11,dP4|dP6|dP7|dP6|dP4|dP4|dP6|dP4|dP4|dP5|dP5,1,17,True,3,913.5,0.02998,1,30,53.07164812088013,ok,
18,21,17517,True,18,6,1632,6,dP7|dP7|dP5|dP5|dP6|dP6,0,18,False,0,,,1,20,53.79690766334534,ok,
18,21,17647,True,18,6,1708,4,dP5|dP5|dP6|dP8,2,16,False,0,,,1,18,53.85748267173767,ok,
18,21,18007,True,18,6,1664,5,dP6|dP5|dP6|dP5|dP5,1,17,True,1,150.0,0.03308,1,30,35.773690700531006,ok,
18,21,17985,True,18,6,1662,9,dP8|dP4|dP6|dP5|dP4|dP5|dP4|dP5|dP5,2,16,False,0,,,1,20,53.56969380378723,ok,
18,21,18005,True,18,6,1714,7,dP7|dP7|dP5|dP4|dP6|dP5|dP4,1,17,True,1,2320.0,0.02797,1,30,53.151469469070435,ok,
18,21,34670,True,18,7,1572,6,dP5|dP7|dP6|dP4|dP4|dP4,1,17,True,3,19.9,0.00617,1,30,86.80386519432068,ok,
18,21,27331,True,18,6,1864,13,dP8|dP6|dP6|dP5|dP5|dP7|dP6|dP6|dP5|dP4|dP4|dP7|dP5,0,18,False,0,,,1,20,57.1423773765564,ok,
18,21,23703,True,18,6,2098,9,dP8|dP5|dP6|dP7|dP6|dP6|dP8|dP4|dP4,1,17,False,0,,,1,20,61.81414461135864,ok,
18,21,21082,True,18,6,1362,9,dP4|dP4|dP5|dP4|dP4|dP5|dP4|dP4|dP4,1,17,False,0,,,1,20,64.50466251373291,ok,
18,21,25921,True,18,6,1424,8,dP4|dP6|dP7|dP5|dP4|dP4|dP4|dP4,0,18,False,0,,,1,20,72.99651217460632,ok,
18,21,29123,True,18,6,1748,12,dP7|dP6|dP5|dP5|dP4|dP4|dP6|dP6|dP4|dP6|dP6|dP7,1,17,True,1,336.0,0.06470,1,30,93.31114268302917,ok,
18,21,29502,True,18,6,1732,7,dP7|dP7|dP5|dP4|dP5|dP5|dP4,1,17,False,0,,,1,20,94.76837587356567,ok,
18,21,34497,True,18,6,1988,7,dP5|dP8|dP6|dP7|dP7|dP4|dP6,2,16,True,2,124.0,0.00745,1,30,85.07255792617798,ok,
18,21,32083,True,18,6,1728,12,dP8|dP5|dP4|dP4|dP6|dP8|dP5|dP4|dP4|dP4|dP5|dP4,0,18,True,1,2472.0,0.02848,1,30,103.05302953720093,ok,
18,21,32432,True,18,6,1840,12,dP6|dP6|dP4|dP6|dP4|dP5|dP6|dP7|dP4|dP5|dP5|dP6,1,17,True,1,1470.0,0.09326,1,30,99.11913704872131,ok,
18,21,37037,True,18,6,1646,8,dP8|dP8|dP4|dP5|dP5|dP5|dP4|dP4,0,18,True,4,72.0,0.00146,1,30,86.0063374042511,ok,
18,21,36236,True,18,6,1564,8,dP6|dP4|dP6|dP6|dP4|dP4|dP5|dP5,1,17,True,3,2520.0,0.01491,1,30,119.22830271720886,ok,
18,21,35953,True,18,6,2038,11,dP6|dP7|dP7|dP5|dP6|dP4|dP4|dP6|dP8|dP4|dP5,1,17,True,3,224.0,0.00124,1,30,121.10020303726196,ok,
18,21,43414,True,18,6,1742,7,dP6|dP5|dP4|dP5|dP6|dP5|dP6,2,16,True,2,1602.0,0.02460,1,30,151.77999806404114,ok,
18,21,49669,True,18,6,1762,12,dP6|dP6|dP5|dP4|dP6|dP6|dP5|dP8|dP4|dP4|dP4|dP4,0,18,False,0,,,1,20,168.74750518798828,ok,
18,21,57246,True,18,6,1512,6,dP6|dP5|dP5|dP6|dP5|dP4,0,18,False,0,,,1,20,129.67767190933228,ok,
18,21,50470,True,18,6,1790,9,dP7|dP6|dP5|dP4|dP4|dP5|dP7|dP5|dP7,1,17,True,1,1168.8,0.04726,1,30,184.18193340301514,ok,
18,21,712,True,18,5,1880,11,dP7|dP8|dP5|dP7|dP4|dP4|dP6|dP5|dP4|dP5|dP4,0,18,True,2,8688.0,0.03410,1,30,2.469524621963501,ok,
18,21,1222,True,18,5,1902,8,dP6|dP8|dP7|dP5|dP4|dP4|dP4|dP4,2,16,True,1,0.0,0.00000,1,30,4.120642900466919,ok,
18,21,58163,True,18,6,1752,9,dP6|dP6|dP8|dP8|dP6|dP7|dP4|dP5|dP5,0,18,False,0,,,1,20,134.39578652381897,ok,
18,21,54509,True,18,6,2144,9,dP8|dP5|dP6|dP5|dP5|dP5|dP6|dP8|dP7,0,18,True,1,2500.0,0.06817,1,30,192.11206436157227,ok,
18,21,1588,True,18,5,1802,6,dP6|dP8|dP4|dP5|dP4|dP7,2,16,True,5,0.0,0.00000,1,30,3.0425002574920654,ok,
18,21,1759,True,18,5,1596,6,dP5|dP5|dP6|dP6|dP4|dP5,0,18,True,3,112.0,0.00101,1,30,5.783118009567261,ok,
18,21,53904,True,18,6,1796,13,dP5|dP6|dP6|dP6|dP4|dP7|dP4|dP4|dP4|dP4|dP6|dP5|dP6,0,18,True,1,92.0,0.05153,1,30,197.36357736587524,ok,
18,21,2968,True,18,5,1710,7,dP4|dP8|dP6|dP5|dP5|dP7|dP4,0,18,True,3,0.0,0.00000,1,30,9.270857810974121,ok,
18,21,3541,True,18,5,2042,9,dP8|dP5|dP7|dP6|dP6|dP7|dP4|dP5|dP4,1,17,False,0,,,1,20,7.8951029777526855,ok,
18,21,3843,True,18,5,1516,7,dP6|dP4|dP8|dP5|dP5|dP5|dP4,0,18,True,4,325.0,0.00559,1,30,10.076549053192139,ok,
18,21,4429,True,18,5,1770,6,dP5|dP7|dP7|dP4|dP5|dP5,0,18,True,4,46.5,0.00108,1,30,9.877022981643677,ok,
18,21,54537,True,18,6,1974,9,dP8|dP4|dP6|dP8|dP5|dP6|dP4|dP5|dP4,1,17,False,0,,,1,20,199.03721380233765,ok,
18,21,4660,True,18,5,1266,6,dP8|dP8|dP6|dP4|dP4|dP4,0,18,False,0,,,1,20,10.883509397506714,ok,
18,21,4503,True,18,5,1726,6,dP7|dP8|dP6|dP5|dP4|dP4,0,18,True,4,86.0,0.00024,1,30,13.767438411712646,ok,
18,21,6157,True,18,5,1500,7,dP4|dP6|dP6|dP4|dP5|dP4|dP5,1,17,True,2,150.0,0.00370,1,30,13.520065546035767,ok,
18,21,7122,True,18,5,1226,4,dP7|dP6|dP5|dP4,1,17,True,6,223.0,0.00130,1,28,15.120210409164429,ok,
18,21,9627,True,18,5,1396,4,dP5|dP4|dP4|dP7,2,16,False,0,,,1,18,22.813645839691162,ok,
18,21,12445,True,18,5,2104,11,dP6|dP8|dP8|dP6|dP8|dP4|dP4|dP4|dP4|dP4|dP4,1,17,True,5,144.0,0.00254,1,30,26.931228399276733,ok,
18,21,57197,True,18,6,1902,8,dP7|dP5|dP8|dP5|dP6|dP6|dP4|dP6,0,18,False,0,,,1,20,217.4831781387329,ok,
18,21,13594,True,18,5,2028,10,dP6|dP8|dP6|dP6|dP5|dP4|dP5|dP5|dP4|dP5,1,17,False,0,,,1,20,43.63882327079773,ok,
18,21,16438,True,18,5,1276,6,dP5|dP7|dP4|dP5|dP4|dP4,1,17,True,3,1138.5,0.04846,1,30,43.34660625457764,ok,
18,21,57305,True,18,6,1746,8,dP4|dP6|dP6|dP7|dP4|dP7|dP4|dP4,0,18,False,0,,,1,20,218.3195400238037,ok,
18,21,17758,True,18,5,1504,6,dP7|dP5|dP5|dP5|dP4|dP4,1,17,True,3,108.0,0.00033,1,30,39.41816735267639,ok,
18,21,16970,True,18,5,2174,9,dP7|dP8|dP7|dP7|dP5|dP6|dP4|dP6|dP5,2,16,True,2,0.0,0.00000,1,30,53.86534309387207,ok,
18,21,67878,True,18,6,1434,5,dP6|dP5|dP8|dP4|dP4,0,18,True,3,11.5,0.00028,1,30,227.74791383743286,ok,
18,21,25462,True,18,5,1692,8,dP7|dP8|dP6|dP7|dP4|dP5|dP4|dP4,2,16,True,3,94.0,0.00099,1,30,67.39258742332458,ok,
18,21,30303,True,18,5,2210,9,dP6|dP6|dP7|dP8|dP6|dP7|dP7|dP5|dP5,1,17,False,0,,,1,20,68.78852152824402,ok,
18,21,30575,True,18,5,1986,8,dP6|dP7|dP5|dP8|dP7|dP6|dP6|dP6,2,16,False,0,,,1,20,73.02882695198059,ok,
18,21,30027,True,18,5,2080,13,dP7|dP4|dP7|dP6|dP4|dP6|dP4|dP4|dP6|dP4|dP7|dP4|dP4,2,16,True,3,89.0,0.00362,1,30,89.56460809707642,ok,
18,21,29360,True,18,5,1936,11,dP6|dP6|dP5|dP5|dP7|dP6|dP5|dP4|dP5|dP7|dP5,1,17,True,2,0.0,0.00000,1,30,98.08820819854736,ok,
18,21,31030,True,18,5,1996,8,dP8|dP7|dP4|dP6|dP4|dP5|dP7|dP4,2,16,True,3,0.0,0.00000,1,30,91.49139666557312,ok,
18,21,30518,True,18,5,1962,12,dP6|dP5|dP5|dP6|dP8|dP7|dP4|dP7|dP4|dP4|dP4|dP4,1,17,False,0,,,1,20,101.3335485458374,ok,
18,21,137,True,18,4,2482,6,dP7|dP4|dP5|dP7|dP4|dP5,1,17,True,3,0.0,0.00000,2,27,0.636167049407959,ok,
18,21,256,True,18,4,2766,7,dP7|dP7|dP8|dP4|dP4|dP4|dP4,1,17,True,5,3047.4,0.01512,1,26,0.9962496757507324,ok,
18,21,31031,True,18,5,2176,11,dP8|dP7|dP6|dP6|dP6|dP4|dP5|dP7|dP4|dP4|dP4,2,16,False,0,,,1,20,86.1825213432312,ok,
18,21,261,True,18,4,2566,9,dP7|dP7|dP8|dP4|dP4|dP4|dP5|dP4|dP4,0,18,True,5,6285.5,0.02502,1,26,1.0052802562713623,ok,
18,21,76376,True,18,6,1426,7,dP7|dP6|dP4|dP5|dP4|dP4|dP4,2,16,False,0,,,1,20,308.77911138534546,ok,
18,21,372,True,18,4,2364,8,dP7|dP6|dP4|dP6|dP4|dP4|dP5|dP4,0,18,True,5,92.0,0.00251,1,26,1.3336889743804932,ok,
18,21,376,True,18,4,3068,8,dP7|dP4|dP5|dP4|dP4|dP6|dP5|dP5,0,18,True,4,30.5,0.00166,1,26,1.2937073707580566,ok,
18,21,389,True,18,4,2344,8,dP7|dP6|dP5|dP4|dP8|dP4|dP4|dP4,0,18,True,5,52.5,0.00069,1,26,1.3730738162994385,ok,
18,21,441,True,18,4,2032,4,dP6|dP4|dP7|dP5,2,16,False,0,,,1,14,1.5450913906097412,ok,
18,21,449,True,18,4,1818,7,dP5|dP4|dP8|dP8|dP4|dP4|dP7,1,17,False,0,,,1,16,1.5616874694824219,ok,
18,21,518,True,18,4,1610,5,dP6|dP4|dP6|dP4|dP6,0,18,False,0,,,1,16,1.7704825401306152,ok,
18,21,525,True,18,4,1886,4,dP6|dP5|dP8|dP4,2,16,False,0,,,1,14,1.8312253952026367,ok,
18,21,659,True,18,4,2594,5,dP7|dP7|dP4|dP4|dP4,1,17,True,5,0.0,0.00000,2,27,2.2113964557647705,ok,
18,21,723,True,18,4,2960,11,dP7|dP7|dP4|dP5|dP6|dP6|dP8|dP4|dP4|dP4|dP4,0,18,True,1,69.7,0.00132,1,26,2.4132070541381836,ok,
18,21,987,True,18,4,2878,8,dP7|dP6|dP4|dP5|dP4|dP6|dP5|dP4,0,18,True,4,40.5,0.00375,1,26,3.2451329231262207,ok,
18,21,1065,True,18,4,2396,8,dP7|dP6|dP5|dP4|dP8|dP4|dP4|dP4,0,18,True,3,243.3,0.00277,1,26,3.582219362258911,ok,
18,21,1237,True,18,4,1502,7,dP8|dP5|dP4|dP8|dP4|dP4|dP5,2,16,False,0,,,1,16,3.995988607406616,ok,
18,21,1485,True,18,4,1148,5,dP7|dP5|dP7|dP4|dP4,0,18,True,3,174.0,0.00171,1,26,4.764995574951172,ok,
18,21,1732,True,18,4,2202,4,dP7|dP6|dP7|dP4,2,16,False,0,,,1,14,5.579336881637573,ok,
18,21,1777,True,18,4,1710,4,dP8|dP7|dP5|dP6,1,17,False,0,,,1,14,5.67650032043457,ok,
18,21,1917,True,18,4,1754,11,dP8|dP8|dP4|dP5|dP4|dP6|dP4|dP4|dP5|dP5|dP4,1,17,False,0,,,1,16,6.230370998382568,ok,
