h11,h21,poly_idx,favorable,h11_eff,n_chi3,max_h0_025,first_hit_at,n_bundles_checked,n_clean,max_h0_t2,n_k3,n_elliptic,elapsed,status,error
18,21,178,True,18,1276,10,79,1276,32,10,1,0,2.915065288543701,PASS,
18,21,551,True,18,2226,6,1,2226,24,7,1,0,5.025235652923584,PASS,
18,21,1570,True,18,2014,6,67,2014,14,6,4,4,5.619894027709961,PASS,
18,21,3432,True,18,1374,6,1,1374,23,6,4,6,7.919719934463501,PASS,
18,21,2476,True,18,1548,7,419,1548,0,7,0,0,10.015672206878662,NONE,
18,21,3105,True,18,1326,6,1,1326,40,6,2,1,10.358644485473633,PASS,
18,21,7024,True,18,1494,6,3,1494,17,6,2,1,17.76552677154541,PASS,
18,21,6183,True,18,1624,7,83,1624,7,7,2,1,21.891472101211548,PASS,
18,21,7069,True,18,1718,6,3,1718,30,6,5,6,23.250226497650146,PASS,
18,21,8607,True,18,1410,6,5,1410,15,6,7,9,25.234328985214233,PASS,
18,21,12723,True,18,1592,6,1,1592,33,6,2,1,33.21843671798706,PASS,
18,21,12272,True,18,1732,6,3,1732,29,6,3,3,39.65432024002075,PASS,
18,21,16290,True,18,1632,7,107,1632,0,7,0,0,46.05392241477966,NONE,
18,21,12430,True,18,1716,6,5,1716,30,8,3,3,42.333685874938965,PASS,
18,21,12673,True,18,1432,6,3,1432,23,6,4,4,42.50610661506653,PASS,
18,21,17932,True,18,1828,7,609,1828,1,7,6,11,54.80738115310669,PASS,
18,21,17309,True,18,1828,6,143,1828,1,6,7,9,46.616883277893066,PASS,
18,21,15236,True,18,2286,6,429,2286,15,6,5,10,49.36967420578003,PASS,
18,21,17630,True,18,1476,7,107,1476,8,7,2,1,59.441245555877686,PASS,
18,21,17517,True,18,1632,6,1,1632,30,6,3,1,44.85296058654785,PASS,
18,21,17319,True,18,2032,6,83,2032,1,6,5,8,56.8385443687439,PASS,
18,21,17985,True,18,1662,6,163,1662,8,6,5,6,54.72054576873779,PASS,
18,21,17647,True,18,1708,6,3,1708,23,7,3,3,58.05357837677002,PASS,
18,21,18005,True,18,1714,6,1,1714,38,6,2,1,58.22859191894531,PASS,
