poly_id,h11,h21,chi,n_vertices,n_points,is_favorable,tier1_score,tier1_max,n_rigid_dP,n_K3,n_intnums,n_kahler_walls,n_mori_generators,vol_tip,k_ratio,h11_quotient,gl_order,error
poly_0,13,16,-6,11,18,True,7,7,12,0,218,85,429,12420.999999996715,31.0,6,1,
poly_1,13,16,-6,13,18,True,7,7,12,0,235,73,463,10302.479166665762,43.0,7,1,
poly_2,13,16,-6,13,18,True,7,7,12,0,239,76,381,9291.999999999674,84.0,8,1,
poly_3,14,17,-6,8,19,True,7,7,11,0,214,67,236,10702.54166666033,43.5,8,1,
poly_4,,,,10,18,False,,,,,,,,,,,,non-favorable
poly_5,,,,10,18,False,,,,,,,,,,,,non-favorable
poly_6,,,,11,17,False,,,,,,,,,,,,non-favorable
poly_7,,,,11,17,False,,,,,,,,,,,,non-favorable
poly_8,,,,10,18,False,,,,,,,,,,,,non-favorable
poly_9,14,17,-6,11,19,True,6,7,13,0,230,74,518,11193.499999985068,10.0,10,1,
poly_10,14,17,-6,12,21,True,6,7,12,0,237,74,1181,4388.093749999368,5.923076923076923,6,1,
poly_11,,,,11,18,False,,,,,,,,,,,,non-favorable
poly_12,,,,11,18,False,,,,,,,,,,,,non-favorable
poly_13,,,,11,18,False,,,,,,,,,,,,non-favorable
poly_14,14,17,-6,11,19,True,7,7,13,0,236,70,172,5802.408603246501,26.666666666666668,11,1,
poly_15,,,,11,17,False,,,,,,,,,,,,non-favorable
poly_16,14,17,-6,11,19,True,7,7,11,0,243,70,304,23936.999999810367,26.666666666666668,7,1,
poly_17,14,17,-6,11,19,True,7,7,10,0,242,74,100,8068.278184671879,40.0,8,1,
poly_18,14,17,-6,11,19,True,7,7,12,0,246,69,174,9577.187499998006,16.0,8,1,
poly_19,14,17,-6,11,19,True,7,7,11,0,235,72,183,15665.49999960658,26.666666666666668,9,1,
poly_20,,,,12,18,False,,,,,,,,,,,,non-favorable
poly_21,,,,12,18,False,,,,,,,,,,,,non-favorable
poly_22,,,,12,17,False,,,,,,,,,,,,non-favorable
poly_23,14,17,-6,12,19,True,7,7,15,0,245,78,62,21069.999998506817,82.0,9,2,
poly_24,14,17,-6,14,19,True,7,7,13,0,260,76,1397,5331.499999999953,44.0,6,1,
poly_25,,,,8,20,False,,,,,,,,,,,,non-favorable
poly_26,,,,8,20,False,,,,,,,,,,,,non-favorable
poly_27,15,18,-6,8,20,True,7,7,9,0,201,77,1111,15773.223999510621,14.4,7,1,
poly_28,15,18,-6,8,20,True,7,7,8,0,210,63,269,50205.61111014161,24.0,7,2,
poly_29,,,,10,19,False,,,,,,,,,,,,non-favorable
poly_30,15,18,-6,11,22,True,6,7,10,0,230,78,550,11315.374999997452,6.8,7,1,
poly_31,,,,10,19,False,,,,,,,,,,,,non-favorable
poly_32,,,,9,16,False,,,,,,,,,,,,non-favorable
poly_33,15,18,-6,9,20,True,7,7,13,0,232,69,371,8434.25174350781,86.0,9,2,
poly_34,,,,11,20,False,,,,,,,,,,,,non-favorable
poly_35,,,,11,20,False,,,,,,,,,,,,non-favorable
poly_36,15,18,-6,10,20,True,6,6,9,0,222,62,370,1265.9999999999961,,8,2,
poly_37,15,18,-6,10,20,True,7,7,14,0,241,70,719,3799.2835555335187,17.2,8,4,
poly_38,15,18,-6,11,22,True,6,7,11,0,240,85,1468,9600.729166623052,7.4,10,1,
poly_39,,,,10,19,False,,,,,,,,,,,,non-favorable
poly_40,,,,10,19,False,,,,,,,,,,,,non-favorable
poly_41,15,18,-6,11,21,True,7,7,13,0,250,80,252,10702.49999999551,74.0,10,1,
poly_42,15,18,-6,11,20,True,7,7,14,0,263,69,289,4784.666666649591,41.5,8,2,
poly_43,15,18,-6,11,20,True,7,7,15,0,272,75,168,8097.833333333259,41.5,9,4,
poly_44,,,,11,19,False,,,,,,,,,,,,non-favorable
poly_45,,,,11,19,False,,,,,,,,,,,,non-favorable
poly_46,15,18,-6,11,20,True,7,7,12,0,246,84,174,18621.99999994098,14.0,10,1,
poly_47,,,,11,17,False,,,,,,,,,,,,non-favorable
poly_48,,,,11,18,False,,,,,,,,,,,,non-favorable
poly_49,,,,11,19,False,,,,,,,,,,,,non-favorable
poly_50,,,,11,16,False,,,,,,,,,,,,non-favorable
poly_51,,,,11,20,False,,,,,,,,,,,,non-favorable
poly_52,,,,11,18,False,,,,,,,,,,,,non-favorable
poly_53,15,18,-6,11,20,True,7,7,13,0,241,89,829,18815.83333333107,98.0,8,1,
poly_54,,,,11,18,False,,,,,,,,,,,,non-favorable
poly_55,,,,12,20,False,,,,,,,,,,,,non-favorable
poly_56,15,18,-6,11,20,True,7,7,13,0,250,72,194,7269.166666666622,86.0,10,2,
poly_57,15,18,-6,11,20,True,7,7,14,0,257,80,203,11348.57278217266,14.833333333333334,8,1,
poly_58,15,18,-6,11,20,True,6,6,15,0,256,78,106,11554.021215844055,,8,1,
poly_59,15,18,-6,11,21,True,6,7,12,0,240,84,357,7578.204753471604,9.0,11,1,
poly_60,15,18,-6,11,21,True,7,7,16,0,268,62,271,4731.499999996905,86.0,8,2,
poly_61,,,,11,18,False,,,,,,,,,,,,non-favorable
poly_62,,,,11,18,False,,,,,,,,,,,,non-favorable
poly_63,,,,11,18,False,,,,,,,,,,,,non-favorable
poly_64,15,18,-6,11,22,True,7,7,14,0,249,77,692,16804.166665815297,10.222222222222221,9,1,
poly_65,15,18,-6,11,20,True,6,6,13,2,233,68,143,17505.83333145003,,10,2,
poly_66,15,18,-6,11,22,True,7,7,14,0,249,80,226,31243.333325049374,29.666666666666668,10,1,
poly_67,,,,12,19,False,,,,,,,,,,,,non-favorable
poly_68,15,18,-6,12,20,True,7,7,15,0,264,82,237,16420.833333193772,44.5,8,1,
poly_69,15,18,-6,12,20,True,7,7,14,0,260,85,181,14686.812499996775,87.0,9,1,
poly_70,15,18,-6,12,20,True,7,7,15,0,255,83,154,36633.99999981039,22.25,9,2,
poly_71,,,,12,19,False,,,,,,,,,,,,non-favorable
poly_72,15,18,-6,12,20,True,7,7,12,0,247,89,246,29654.999995621416,44.0,8,1,
poly_73,,,,12,19,False,,,,,,,,,,,,non-favorable
poly_74,15,18,-6,12,20,True,7,7,11,0,256,90,1183,5440.999999999336,43.0,10,1,
poly_75,15,18,-6,12,20,True,7,7,13,0,259,88,610,8175.333333333101,43.0,11,1,
poly_76,15,18,-6,12,20,True,7,7,14,0,254,74,285,13292.999999981677,26.333333333333332,10,1,
poly_77,15,18,-6,12,20,True,7,7,12,0,257,76,259,21400.16666651819,26.333333333333332,7,1,
poly_78,15,18,-6,12,20,True,7,7,14,0,268,74,649,3735.4999999999636,17.6,11,1,
poly_79,15,18,-6,12,20,True,7,7,14,1,251,71,90,3331.2066152849984,46.0,9,1,
poly_80,15,18,-6,12,20,True,7,7,15,0,263,76,651,3197.333333333317,13.333333333333334,8,1,
poly_81,15,18,-6,12,20,True,7,7,14,1,264,73,205,5207.645223822321,17.0,10,2,
poly_82,15,18,-6,12,20,True,7,7,14,0,261,78,108,11464.333333333037,40.0,9,1,
poly_83,,,,12,19,False,,,,,,,,,,,,non-favorable
poly_84,15,18,-6,12,20,True,7,7,12,0,261,80,2535,3392.9999999999027,26.333333333333332,12,1,
poly_85,15,18,-6,13,21,True,7,7,15,0,263,92,995,14265.24999998334,77.0,10,1,
poly_86,,,,12,18,False,,,,,,,,,,,,non-favorable
poly_87,,,,12,19,False,,,,,,,,,,,,non-favorable
poly_88,15,18,-6,12,20,True,7,7,15,0,265,90,150,40642.33333302856,30.0,9,1,
poly_89,15,18,-6,12,21,True,7,7,16,0,263,86,234,23293.833333327282,76.0,10,1,
poly_90,15,18,-6,12,21,True,7,7,15,0,255,83,536,15368.839506170083,44.5,8,1,
poly_91,15,18,-6,12,20,True,6,6,14,1,253,88,137,8183.532449526868,,8,1,
poly_92,,,,12,19,False,,,,,,,,,,,,non-favorable
poly_93,15,18,-6,12,20,True,7,7,13,1,252,72,120,16526.437499775788,22.75,5,1,
poly_94,15,18,-6,13,21,True,7,7,14,0,257,82,565,14054.99999999805,44.5,10,1,
poly_95,15,18,-6,12,20,True,7,7,15,0,260,65,420,4128.7127795466085,18.2,7,1,
poly_96,,,,12,19,False,,,,,,,,,,,,non-favorable
poly_97,15,18,-6,12,20,True,7,7,15,0,252,78,101,9509.333333329101,85.0,9,1,
poly_98,15,18,-6,12,20,True,7,7,13,0,254,80,562,6493.941881652192,19.75,8,1,
poly_99,15,18,-6,12,21,True,7,7,15,0,255,89,290,27141.833333318566,29.666666666666668,9,1,
poly_100,15,18,-6,12,20,True,7,7,14,0,258,84,184,20098.66666666464,42.5,10,1,
poly_101,,,,12,18,False,,,,,,,,,,,,non-favorable
poly_102,,,,12,19,False,,,,,,,,,,,,non-favorable
poly_103,,,,12,19,False,,,,,,,,,,,,non-favorable
