rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
1,256,26,38,4,2252,6,True,2025.4999999925785,3,1,19,15,True,1,True,True,su(2) × su(7) × su(5) × U(1)^1,5.038153648376465
2,101,26,35,4,1872,4,True,129.9999999999787,2,1,15,15,True,1,True,False,su(2) × su(2) × su(3) × su(3) × U(1)^4,4.002531051635742
3,500,26,34,6,2024,4,True,123.98258646234628,2,1,13,15,True,1,True,True,su(2) × su(6) × su(5) × U(1)^1,6.18783712387085
4,387,26,33,4,2464,6,True,11399.999999972097,3,3,14,15,True,3,True,True,su(2) × su(2) × su(2) × su(5) × su(4),4.5780861377716064
5,25,26,20,10,972,1,True,5255.162396214395,3,3,13,11,False,3,True,False,su(2) × su(3) × su(3) × su(2) × U(1)^3,1.1872601509094238
6,66,26,15,4,2244,4,True,37.48479068223229,2,1,10,15,True,1,True,False,su(4) × su(2) × su(3) × su(2) × su(2) × U(1)^1,5.405844688415527
7,317,25,9,4,2404,8,True,257.95797057333033,4,6,4,15,True,6,True,True,su(4) × su(5) × su(3) × su(3),5.564000129699707
8,243,25,6,4,2050,6,True,787.4999999971199,5,8,5,15,True,8,True,True,su(2) × su(5) × su(6) × U(1)^2,2.7048020362854004
9,6,25,6,18,1668,2,True,899.9999999998108,2,1,4,13,False,1,True,False,su(4) × su(4) × su(4) × su(2),2.750757932662964
10,9,25,5,4,1752,5,True,20.99999999999998,6,7,4,14,False,7,True,True,su(6) × su(4) × su(4),3.431546688079834
11,79,25,5,4,2392,5,True,14.992636523006203,2,1,5,15,True,1,True,False,su(3) × su(3) × U(1)^6,4.307308197021484
12,112,25,4,4,2492,6,True,1631.2595738222776,2,1,3,15,True,1,True,False,su(3) × su(3) × U(1)^6,3.7544753551483154
13,40,25,3,4,2232,4,True,6011.999999208294,2,1,3,15,True,1,True,False,su(3) × su(3) × U(1)^6,4.922459363937378
14,163,25,3,4,2524,5,True,475.9138320124111,2,1,2,15,True,1,True,False,su(3) × su(3) × U(1)^6,2.8358631134033203
15,215,25,2,4,2606,7,True,144.99999999999915,6,13,2,14,False,13,True,True,su(4) × su(3) × su(2) × su(3) × su(3) × su(2),3.984851598739624
16,362,25,1,4,2512,5,True,40.5,4,4,1,15,True,4,True,True,su(3) × su(5) × su(6),2.9680652618408203
17,367,25,1,4,2390,8,True,3.920000000002368,4,4,1,15,True,4,True,True,su(2) × su(2) × su(2) × su(4) × su(2) × su(3) × U(1)^1,5.249166488647461
18,21,25,1,3,2648,3,True,1149.9999999978531,2,1,1,15,True,1,True,False,su(2) × su(3) × su(2) × su(4) × U(1)^2,3.4686713218688965
19,248,23,20,16,2248,2,False,0.0,2,1,11,15,True,1,True,False,su(3) × su(3) × su(2) × su(4) × su(2),4.331204414367676
20,18,23,19,13,2954,9,False,0.0,6,7,10,15,True,7,True,True,su(6) × su(4) × su(4),6.244335174560547
21,23,23,17,10,1512,4,False,0.0,4,6,15,13,False,6,True,True,su(3) × su(4) × su(2) × su(4) × U(1)^2,1.447080373764038
22,22,23,16,6,1658,2,False,0.0,5,6,11,12,False,6,True,True,su(2) × su(2) × su(3) × su(5) × U(1)^3,1.4314939975738525
23,205,23,14,4,2494,2,False,0.0,2,1,12,15,True,1,True,False,su(3) × su(3) × U(1)^6,4.036631345748901
24,88,23,13,4,2634,6,False,0.0,2,1,12,15,True,1,True,False,su(3) × su(3) × U(1)^6,5.141537427902222
25,293,22,16,4,2944,7,False,0.0,5,8,8,15,True,8,True,True,su(3) × su(3) × su(4) × su(5) × U(1)^1,5.514253854751587
26,315,22,14,4,2930,6,False,0.0,5,8,7,15,True,8,True,True,su(3) × su(4) × su(3) × su(5) × U(1)^1,3.9377248287200928
27,45,22,12,6,2800,7,False,0.0,3,1,8,15,True,1,True,True,su(6) × su(2) × su(6) × U(1)^2,5.22922682762146
28,138,22,8,4,2236,5,False,0.0,5,8,5,15,True,8,True,True,su(5) × su(4) × su(3) × su(3),5.186108589172363
29,4,22,6,5,1230,1,False,0.0,5,6,4,13,False,6,True,True,su(5) × su(5) × su(3) × U(1)^3,2.3283133506774902
30,369,22,5,4,1974,3,False,0.0,4,4,3,15,True,4,True,True,su(2) × su(2) × su(3) × su(3) × su(6),4.694941997528076
31,331,22,5,4,2494,3,False,0.0,3,3,4,15,True,3,True,True,su(2) × su(2) × su(4) × su(6),3.313324451446533
32,484,22,5,4,2334,5,False,0.0,3,3,5,15,True,3,True,True,su(4) × su(5) × su(2) × U(1)^1,3.7553417682647705
33,242,22,4,4,1762,7,False,0.0,5,10,3,14,False,10,True,True,su(2) × su(4) × su(4) × su(2) × su(2) × su(3),1.9893522262573242
34,81,22,4,4,2728,6,False,0.0,2,1,2,15,True,1,True,False,su(3) × su(3) × U(1)^6,3.633509874343872
35,19,22,3,3,1946,4,False,0.0,3,3,2,14,False,3,True,True,su(2) × su(6) × su(2) × su(3) × U(1)^1,3.467181444168091
36,176,22,3,4,2616,5,False,0.0,3,1,3,15,True,1,True,False,su(3) × su(3) × U(1)^6,4.870024681091309
37,85,22,1,4,2242,10,False,0.0,5,6,1,15,True,6,True,True,su(2) × su(2) × su(3) × su(4) × su(2) × su(4),2.2911815643310547
38,64,22,1,4,2634,5,False,0.0,3,3,1,15,True,3,True,True,su(7) × su(3) × su(2) × su(4),3.8803353309631348
39,1,22,1,3,1388,2,False,0.0,3,1,1,14,False,1,True,True,su(5) × su(4) × su(5) × U(1)^2,2.0505306720733643
40,26,22,1,3,1668,2,False,0.0,2,1,1,14,False,1,True,False,su(3) × su(2) × su(4) × su(3) × U(1)^1,3.0718417167663574
41,7,22,1,3,908,1,False,0.0,3,1,1,11,False,1,False,False,U(1)^10,0.7255949974060059
42,5,20,12,4,3114,2,False,0.0,1,0,9,15,True,0,False,False,,4.848228931427002
43,3,20,2,3,2586,1,False,0.0,1,0,1,15,True,0,False,False,,3.8076374530792236
44,505,20,0,4,1952,8,True,1631.1111111108783,6,11,0,15,True,11,True,True,su(6) × su(3) × su(5) × U(1)^2,6.770890474319458
45,83,20,0,4,2814,11,True,41.999999999999986,6,7,0,15,True,7,True,True,su(2) × su(2) × su(4) × su(2) × su(5) × su(3),2.629220962524414
46,544,20,0,4,2276,6,True,1701.3888888877564,4,4,0,15,True,4,True,True,su(3) × su(2) × su(3) × su(2) × su(2) × su(4),3.4569246768951416
47,340,17,0,4,2090,5,False,0.0,5,8,0,14,False,8,True,True,su(4) × su(4) × su(5) × U(1)^1,3.6931793689727783
48,424,17,0,4,2168,9,False,0.0,5,6,0,15,True,6,True,True,su(7) × su(2) × su(5) × U(1)^2,4.736840486526489
49,542,17,0,4,2424,3,False,0.0,4,4,0,15,True,4,True,True,su(2) × su(3) × su(2) × su(4) × su(3) × U(1)^1,3.2790770530700684
50,457,17,0,4,2346,5,False,0.0,3,3,0,15,True,3,True,True,su(2) × su(4) × su(5) × U(1)^1,3.2017648220062256
