rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
1,212,26,42,14,2214,3,True,49.99999999999733,3,3,25,15,False,3,True,True,su(8) or e7 × su(4) × U(1)^2,2.170854330062866
2,239,26,38,6,2210,2,True,0.004257821665898153,3,1,20,14,False,1,True,True,su(7) × su(5) × U(1)^3,1.648249626159668
3,329,26,34,15,2254,6,True,108.97877697366786,6,7,20,14,False,7,True,True,su(5) × su(3) × su(2) × su(4) × U(1)^1,1.2523648738861084
4,313,26,33,6,2156,4,True,689.3426117356792,3,3,18,15,False,3,True,True,su(3) × su(4) × su(3) × su(4) × U(1)^1,2.046903371810913
5,169,26,31,12,2734,5,True,109.99999999999727,4,4,11,14,False,4,True,True,su(4) × su(4) × su(3) × su(3) × U(1)^1,2.0139966011047363
6,83,26,31,5,1362,4,True,1640.1941193464795,3,1,15,16,True,1,True,True,su(2) × su(8) or e7 × su(5) × U(1)^1,1.5391361713409424
7,1998,26,30,6,2788,9,True,1.5000000000000657,6,7,22,15,False,7,True,True,su(6) × su(6) × U(1)^1,2.308915376663208
8,376,26,30,9,2444,7,True,161.99999999997124,4,4,18,15,False,4,True,True,su(3) × su(5) × su(5) × U(1)^3,2.0155062675476074
9,125,26,29,10,1548,3,True,563.9999999999975,4,4,11,13,False,4,True,True,su(4) × su(8) or e7 × U(1)^4,0.6302201747894287
10,800,26,28,10,2390,8,True,358.9999999999999,5,6,10,15,False,6,True,True,su(5) × su(8) or e7 × U(1)^3,1.2449944019317627
11,24,26,27,10,2554,8,True,235.000000012069,4,4,14,15,False,4,True,True,su(3) × su(4) × su(5) × su(3) × su(2),1.3825278282165527
12,1775,26,27,9,1880,5,True,949.9800068433216,3,3,17,14,False,3,True,True,su(5) × su(7) × U(1)^2,1.2932407855987549
13,140,26,26,10,2576,6,True,127.99999999999932,4,4,14,14,False,4,True,True,su(3) × su(4) × su(5) × U(1)^4,1.7023561000823975
14,118,26,26,6,1288,6,True,13.49999999999995,2,1,10,16,True,1,True,True,su(8) or e7 × su(5) × su(2),1.7884104251861572
15,204,26,24,15,2498,6,True,416.4999999999965,6,7,16,14,False,7,True,True,su(3) × su(5) × su(5) × U(1)^3,1.6422865390777588
16,86,26,24,10,1880,5,True,1535.9999999996921,4,4,14,14,False,4,True,True,su(3) × su(7) × su(4) × U(1)^2,1.5398766994476318
17,342,26,24,10,1606,4,True,1271.9999999998481,4,4,13,13,False,4,True,True,su(5) × su(7) × U(1)^4,1.0902843475341797
18,429,26,24,6,948,5,True,185.9999999996217,3,3,14,16,True,3,True,True,su(6) × su(6) × su(2) × su(3),0.8433947563171387
19,134,26,24,10,2314,3,True,168.00488463530894,3,1,18,14,False,1,True,True,su(5) × su(7) × U(1)^3,1.0395069122314453
20,106,26,24,6,1306,4,True,20.50065289799257,2,1,11,16,True,1,True,True,su(5) × su(6) × su(2) × su(2) × su(2),0.9502360820770264
21,763,26,23,9,2458,4,True,896.0,4,6,16,15,False,6,True,True,su(3) × su(6) × su(4) × U(1)^2,1.6860618591308594
22,380,26,23,10,1910,5,True,2823.9999999947077,3,1,17,15,False,1,True,True,su(3) × su(7) × su(5) × U(1)^1,2.0870115756988525
23,431,26,22,10,2196,9,True,62.49999999999807,5,6,12,15,False,6,True,True,su(7) × su(6) × U(1)^3,1.9707365036010742
24,285,26,22,5,1360,6,True,899.8681914221012,3,3,12,16,True,3,True,True,su(5) × su(6) × su(2) × su(3),1.731053352355957
25,91,26,22,11,1834,5,True,213.99999999998593,2,1,15,14,False,1,True,False,su(3) × su(3) × su(3) × U(1)^4,1.7859079837799072
26,302,26,21,7,1864,6,True,216.04247598788442,5,10,14,14,False,10,True,True,su(2) × su(2) × su(2) × su(4) × su(5) × U(1)^1,0.8621587753295898
27,695,26,21,9,2062,7,True,73.4418631170796,4,6,17,14,False,6,True,True,su(3) × su(2) × su(5) × su(2) × su(3) × U(1)^2,1.0347468852996826
28,905,26,21,8,2380,7,True,350.9335046546337,4,6,15,15,False,6,True,True,su(2) × su(2) × su(3) × su(2) × su(5) × U(1)^2,2.148104429244995
29,43,26,21,10,1646,3,True,560.0000000000067,3,1,16,12,False,1,True,False,su(3) × U(1)^10,0.75982666015625
30,290,26,21,5,1042,8,True,19.999999999999762,3,1,10,16,True,1,True,False,su(2) × su(4) × su(3) × su(4) × U(1)^2,1.2152659893035889
31,312,26,20,6,2266,2,True,2315.499999998648,3,3,15,15,False,3,True,True,su(2) × su(2) × su(3) × su(2) × su(6) × U(1)^1,1.30397367477417
32,403,26,20,6,1234,4,True,630.2162796666344,3,3,12,16,True,3,True,True,su(6) × su(4) × su(2) × su(4),1.655308723449707
33,194,26,20,9,2112,3,True,119.99999999984448,2,1,12,14,False,1,True,True,su(6) × su(2) × su(2) × su(4) × U(1)^2,1.7852883338928223
34,458,26,20,9,2536,5,True,62.499999999997954,3,1,15,15,False,1,True,False,su(2) × su(2) × su(4) × su(4) × U(1)^3,1.8177094459533691
35,473,26,20,6,1030,9,True,152.72222222257642,3,1,13,16,True,1,True,False,su(4) × su(3) × su(2) × su(3) × su(3) × su(4),1.6262555122375488
36,1646,26,19,6,1654,5,True,90.50000000000001,6,11,12,13,False,11,True,True,su(3) × su(6) × su(2) × su(3) × U(1)^3,1.1344287395477295
37,1032,26,19,6,2728,6,True,320.0000000000492,4,4,11,15,False,4,True,True,su(3) × su(3) × su(3) × su(5) × U(1)^3,2.25581693649292
38,1102,26,19,12,1718,4,True,237.49999999999852,3,1,13,14,False,1,True,True,su(6) × su(6) × U(1)^3,0.8689315319061279
39,11,26,19,10,1678,5,True,149.99999999999437,3,1,12,13,False,1,True,True,su(5) × su(7) × U(1)^4,0.6799323558807373
40,1119,26,18,6,1542,9,True,26.008063537816724,6,7,11,16,True,7,True,True,su(6) × su(3) × su(4) × su(4),1.6538214683532715
41,774,26,18,9,2088,7,True,46.499999999999964,4,4,11,14,False,4,True,True,su(2) × su(3) × su(8) or e7 × U(1)^2,1.553499460220337
42,776,26,18,10,2186,4,True,629.9999999999757,3,3,14,14,False,3,True,True,su(6) × su(2) × su(2) × su(2) × su(3) × U(1)^2,1.1656043529510498
43,1055,26,18,6,1226,5,True,49.990198960717514,3,3,10,16,True,3,True,True,su(4) × su(5) × su(2) × su(4),0.7732150554656982
44,196,26,18,5,1296,4,True,500.9999999996121,3,3,12,16,True,3,True,True,su(3) × su(7) × su(2) × su(4),1.5711722373962402
45,387,26,17,9,1474,4,True,1119.9999999999732,6,7,13,13,False,7,True,True,su(3) × su(5) × su(5) × U(1)^3,0.647240161895752
46,255,26,17,7,2236,8,True,629.8674269294115,4,4,11,15,False,4,True,True,su(2) × su(2) × su(2) × su(2) × su(4) × su(3) × su(3),1.9061987400054932
47,416,26,17,10,1210,4,True,2342.9999999995835,3,1,12,13,False,1,True,True,su(6) × su(6) × U(1)^4,0.9278984069824219
48,1149,26,17,8,2192,2,True,448.49999999999443,2,1,13,15,False,1,True,True,su(6) × su(6) × U(1)^2,1.2527990341186523
49,120,26,16,12,1334,3,True,199.9999999999991,5,6,12,13,False,6,True,True,su(2) × su(3) × su(4) × su(6) × U(1)^1,1.091789722442627
50,76,26,15,9,1956,6,True,412.5000000000225,4,6,11,14,False,6,True,True,su(3) × su(4) × su(3) × su(4) × U(1)^1,1.3734736442565918
51,479,26,15,9,1564,7,True,28.49999999997025,4,6,10,14,False,6,True,True,su(2) × su(5) × su(2) × su(4) × su(2) × U(1)^1,0.921522855758667
52,304,26,15,9,1820,4,True,111.9999999999996,3,1,10,14,False,1,True,False,su(3) × su(3) × U(1)^8,1.2628173828125
53,145,26,15,6,2450,2,True,8.044377005533939,2,1,13,15,False,1,True,True,su(5) × su(7) × U(1)^2,2.2313146591186523
54,395,26,14,6,2356,4,True,106.49999999999623,6,11,11,14,False,11,True,True,su(3) × su(2) × su(2) × su(3) × su(3) × su(2) × su(2),0.9757161140441895
55,2275,26,14,6,2114,3,True,964.8749999968836,5,8,11,14,False,8,True,True,su(4) × su(7) × su(2) × U(1)^2,0.9750018119812012
56,824,26,13,6,1158,8,True,299.9999999999808,5,6,10,16,True,6,True,True,su(5) × su(3) × su(3) × su(4),1.2857189178466797
57,231,26,11,19,1938,6,True,149.98836912028824,4,4,10,14,False,4,True,True,su(5) × su(8) or e7 × U(1)^3,1.11916184425354
58,146,26,10,10,1974,3,True,1.9999999999999982,4,4,10,14,False,4,True,True,su(2) × su(4) × su(7) × U(1)^3,0.8378963470458984
59,357,25,18,10,2786,9,True,563.9999999999973,5,6,7,15,False,6,True,True,su(4) × su(9) or e8 × U(1)^3,2.2051594257354736
60,801,25,18,10,2400,9,True,303.99999999999926,5,6,9,15,False,6,True,True,su(6) × su(7) × U(1)^3,2.1341590881347656
61,1592,25,17,6,2462,6,True,2861.8942113898447,6,13,8,14,False,13,True,True,su(2) × su(4) × su(3) × su(5) × U(1)^2,1.8069124221801758
62,280,25,15,12,2324,0,True,24.999999999999844,2,1,12,15,False,1,True,True,su(7) × su(5) × U(1)^2,2.0898590087890625
63,3269,25,14,6,1168,8,True,407.9999999997688,4,4,9,16,True,4,True,True,su(3) × su(5) × su(2) × su(4) × U(1)^1,0.7605669498443604
64,107,25,14,6,1150,6,True,35.99999999999972,3,1,8,16,True,1,True,False,su(4) × su(4) × su(4) × su(4),0.9444034099578857
65,332,25,13,6,1052,7,True,1699.9999999951358,5,8,9,16,True,8,True,True,su(6) × su(2) × su(6) × U(1)^3,1.2465405464172363
66,193,25,13,6,1082,2,True,1025.999999998368,2,1,8,16,True,1,True,False,su(3) × su(4) × su(2) × su(3) × su(2) × U(1)^1,0.7445871829986572
67,73,25,12,12,1584,3,True,107.99999999989888,3,3,9,12,False,3,True,False,su(3) × su(2) × su(4) × U(1)^4,0.5387489795684814
68,1167,25,12,10,1540,2,True,2837.450351760184,3,3,9,14,False,3,True,True,su(6) × su(3) × su(2) × su(3) × U(1)^2,1.5367610454559326
69,82,25,12,6,1362,5,True,107.99999999998806,3,1,8,13,False,1,True,True,su(5) × su(7) × U(1)^4,0.5813143253326416
70,3642,25,11,7,1098,7,True,79.99999999999669,5,6,7,16,True,6,True,True,su(4) × su(6) × su(3) × su(3) × U(1)^1,0.7733099460601807
