poly_idx,h11,h21,n_vertices,gl_order,classification,n_ample_chi3,n_nef_chi3,n_nearmiss_chi3,best_min_mori,n_walls_hit,min_chi_basis,wall_t_stars,error
0,13,16,11,1,NEAR,0,0,0,-2,0,1.0,,
1,13,16,13,1,NEAR,0,0,0,-2,0,1.0,,
2,13,16,13,1,NEAR,0,0,0,-2,0,1.0,,
3,14,17,8,1,NEAR,0,0,0,-2,0,0.0,,
4,14,17,10,1,NEAR,0,0,0,-2,0,1.0,,
5,14,17,10,1,NEF,0,1,15,0,0,1.0,,
6,14,17,11,2,NEAR,0,0,0,-2,0,1.0,,
7,14,17,11,1,NEAR_MISS,0,0,1,-1,0,1.0,,
8,14,17,10,1,NEAR_MISS,0,0,6,-1,0,1.0,,
9,14,17,11,1,NEAR_MISS,0,0,1,-1,0,0.0,,
10,14,17,12,1,NEAR,0,0,0,-2,0,0.0,,
11,14,17,11,2,NEAR,0,0,0,-3,0,1.0,,
12,14,17,11,1,NEAR,0,0,0,-2,0,1.0,,
13,14,17,11,1,NEAR,0,0,0,-2,0,1.0,,
14,14,17,11,1,NEF,0,1,15,0,2,0.0,4.500000;3.000000,
15,14,17,11,2,NEAR,0,0,0,-3,0,1.0,,
16,14,17,11,1,NEAR,0,0,0,-2,0,0.0,,
17,14,17,11,1,NEAR,0,0,0,-2,0,0.0,,
18,14,17,11,1,NEAR,0,0,0,-2,0,1.0,,
19,14,17,11,1,NEAR_MISS,0,0,6,-1,1,0.0,4.500000,
20,14,17,12,2,NEAR,0,0,0,-2,0,1.0,,
21,14,17,12,2,NEAR,0,0,0,-3,0,1.0,,
22,14,17,12,2,NEAR,0,0,0,-2,0,1.0,,
23,14,17,12,2,NEAR,0,0,0,-2,0,1.0,,
24,14,17,14,1,NEAR_MISS,0,0,2,-1,0,1.0,,
25,15,18,8,2,NEAR,0,0,0,-2,0,-1.0,,
26,15,18,8,2,NEAR,0,0,0,-2,0,-1.0,,
27,15,18,8,1,NEAR,0,0,0,-2,0,0.0,,
28,15,18,8,2,NEAR,0,0,0,-2,0,0.0,,
29,15,18,10,2,NEAR,0,0,0,-3,0,-1.0,,
30,15,18,11,1,NEAR,0,0,0,-2,0,0.0,,
31,15,18,10,1,NEAR_MISS,0,0,1,-1,0,0.0,,
32,15,18,9,4,NEAR_MISS,0,0,1,-1,0,1.0,,
33,15,18,9,2,NEAR,0,0,0,-2,0,0.0,,
34,15,18,11,2,NEAR,0,0,0,-2,0,1.0,,
35,15,18,11,1,NEAR,0,0,0,-2,0,0.0,,
36,15,18,10,2,NEAR_MISS,0,0,7,-1,1,0.0,4.500000,
37,15,18,10,4,NEAR,0,0,0,-2,0,1.0,,
38,15,18,11,1,NEAR,0,0,0,-2,0,0.0,,
39,15,18,10,1,NEAR_MISS,0,0,1,-1,0,1.0,,
40,15,18,10,2,NEF,0,1,10,0,2,-1.0,3.000000;3.000000,
41,15,18,11,1,NEAR_MISS,0,0,8,-1,1,0.0,4.500000,
42,15,18,11,2,NEAR,0,0,0,-2,0,1.0,,
43,15,18,11,4,NEAR_MISS,0,0,2,-1,0,1.0,,
44,15,18,11,1,NEAR,0,0,0,-2,0,0.0,,
45,15,18,11,1,NEF,0,1,7,0,1,-1.0,3.000000,
46,15,18,11,1,NEAR,0,0,0,-2,0,0.0,,
47,15,18,11,1,NEAR_MISS,0,0,2,-1,0,1.0,,
48,15,18,11,1,NEF,0,1,3,0,1,1.0,2.000000,
49,15,18,11,1,NEAR,0,0,0,-2,0,-1.0,,
50,15,18,11,1,NEAR_MISS,0,0,1,-1,0,1.0,,
51,15,18,11,1,NEAR,0,0,0,-2,0,0.0,,
52,15,18,11,2,NEAR_MISS,0,0,12,-1,1,0.0,4.500000,
53,15,18,11,1,NEAR_MISS,0,0,3,-1,0,1.0,,
54,15,18,11,2,NEF,0,1,8,0,1,-1.0,3.000000,
55,15,18,12,2,NEAR,0,0,0,-2,0,1.0,,
56,15,18,11,2,NEAR_MISS,0,0,10,-1,1,0.0,4.500000,
57,15,18,11,1,NEAR,0,0,0,-2,0,1.0,,
58,15,18,11,1,NEF,0,1,16,0,0,1.0,,
59,15,18,11,1,NEAR,0,0,0,-2,0,0.0,,
60,15,18,11,2,NEAR_MISS,0,0,1,-1,0,1.0,,
61,15,18,11,1,NEAR,0,0,0,-2,0,1.0,,
62,15,18,11,1,NEAR,0,0,0,-2,0,1.0,,
63,15,18,11,1,NEAR_MISS,0,0,2,-1,0,1.0,,
64,15,18,11,1,NEAR,0,0,0,-3,0,0.0,,
65,15,18,11,2,NEAR_MISS,0,0,7,-1,51,0.0,1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000,
66,15,18,11,1,NEAR_MISS,0,0,1,-1,0,1.0,,
67,15,18,12,1,NEAR,0,0,0,-2,0,0.0,,
68,15,18,12,1,NEAR,0,0,0,-2,0,1.0,,
69,15,18,12,1,NEAR_MISS,0,0,1,-1,0,1.0,,
70,15,18,12,2,NEF,0,1,2,0,0,1.0,,
71,15,18,12,2,NEAR,0,0,0,-2,0,0.0,,
72,15,18,12,1,NEAR,0,0,0,-2,0,1.0,,
73,15,18,12,1,NEAR_MISS,0,0,3,-1,0,1.0,,
74,15,18,12,1,NEAR,0,0,0,-2,0,0.0,,
75,15,18,12,1,NEAR_MISS,0,0,1,-1,0,0.0,,
76,15,18,12,1,NEAR,0,0,0,-3,0,1.0,,
77,15,18,12,1,NEF,0,1,6,0,1,-1.0,3.000000,
78,15,18,12,1,NEAR,0,0,0,-2,0,1.0,,
79,15,18,12,1,NEAR_MISS,0,0,4,-1,1,1.0,4.500000,
80,15,18,12,1,NEAR_MISS,0,0,1,-1,0,0.0,,
81,15,18,12,2,NEAR_MISS,0,0,8,-1,60,1.0,1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000,
82,15,18,12,1,NEAR,0,0,0,-2,0,0.0,,
83,15,18,12,1,NEAR_MISS,0,0,11,-1,1,0.0,3.000000,
84,15,18,12,1,NEAR,0,0,0,-2,0,0.0,,
85,15,18,13,1,NEAR,0,0,0,-2,0,0.0,,
86,15,18,12,1,NEAR_MISS,0,0,1,-1,0,1.0,,
