/home/seth/dev/cytools_project/venv/lib/python3.13/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  B-01: SCAN χ=-6 POLYTOPES FOR h⁰ ≥ 3 LINE BUNDLES
  Method: Verified Koszul + lattice-point counting
========================================================================


────────────────────────────────────────────────────────────
  h11=13, h21=16  —  3 polytopes
────────────────────────────────────────────────────────────
  poly   0: n_toric=18, h11_eff=13, 1102 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly   1: n_toric=18, h11_eff=13,  946 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly   2: n_toric=18, h11_eff=13, 1428 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★

────────────────────────────────────────────────────────────
  h11=14, h21=17  —  22 polytopes
────────────────────────────────────────────────────────────
  poly   0: n_toric=19, h11_eff=14, 1808 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   1: n_toric=18, h11_eff=13, 1514 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   2: n_toric=18, h11_eff=13, 1416 χ=3 bundles, max h⁰=11 ★★★ HIT ★★★ [NF]
  poly   3: n_toric=17, h11_eff=12, 1400 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   4: n_toric=17, h11_eff=12, 1508 χ=3 bundles, max h⁰=13 ★★★ HIT ★★★ [NF]
  poly   5: n_toric=18, h11_eff=13, 1354 χ=3 bundles, max h⁰=17 ★★★ HIT ★★★ [NF]
  poly   6: n_toric=19, h11_eff=14, 2112 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly   7: n_toric=21, h11_eff=14, 1762 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   8: n_toric=18, h11_eff=13, 1276 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly   9: n_toric=18, h11_eff=13, 1388 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly  10: n_toric=18, h11_eff=13, 1470 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  11: n_toric=19, h11_eff=14, 2024 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  12: n_toric=17, h11_eff=12,  870 χ=3 bundles, max h⁰=1 [NF]
  poly  13: n_toric=19, h11_eff=14, 1546 χ=3 bundles, max h⁰=1
  poly  14: n_toric=19, h11_eff=14, 1980 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  15: n_toric=19, h11_eff=14, 1774 χ=3 bundles, max h⁰=1
  poly  16: n_toric=19, h11_eff=14, 1842 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  17: n_toric=18, h11_eff=13, 1502 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  18: n_toric=18, h11_eff=13, 1384 χ=3 bundles, max h⁰=1 [NF]
  poly  19: n_toric=17, h11_eff=12, 1352 χ=3 bundles, max h⁰=1 [NF]
  poly  20: n_toric=19, h11_eff=14, 1858 χ=3 bundles, max h⁰=1
  poly  21: n_toric=19, h11_eff=14, 1766 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★

────────────────────────────────────────────────────────────
  h11=15, h21=18  —  100 polytopes
────────────────────────────────────────────────────────────
  poly   0: n_toric=20, h11_eff=13, 1170 χ=3 bundles, max h⁰=1 [NF]
  poly   1: n_toric=20, h11_eff=14, 1388 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   2: n_toric=20, h11_eff=15, 2992 χ=3 bundles, max h⁰=1
  poly   3: n_toric=20, h11_eff=15, 2586 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   4: n_toric=19, h11_eff=13, 1230 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★ [NF]
  poly   5: n_toric=22, h11_eff=15, 3114 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   6: n_toric=19, h11_eff=13, 1668 χ=3 bundles, max h⁰=18 ★★★ HIT ★★★ [NF]
  poly   7: n_toric=16, h11_eff=11,  908 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   8: n_toric=20, h11_eff=15, 2552 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   9: n_toric=20, h11_eff=14, 1752 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  10: n_toric=20, h11_eff=14, 1964 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
