
────────────────────────────────────────────────────────────
  h11=15, h21=18  —  553 polytopes (fetched in 1.8s)
────────────────────────────────────────────────────────────
  poly    0: n_toric=20, h11_eff=13,  1170 χ=3 bundles, max h⁰=1 [NF]
  poly    1: n_toric=20, h11_eff=14,  1388 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly    2: n_toric=20, h11_eff=15,  2992 χ=3 bundles, max h⁰=1
  poly    3: n_toric=20, h11_eff=15,  2586 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly    4: n_toric=19, h11_eff=13,  1230 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★ [NF]
  poly    5: n_toric=22, h11_eff=15,  3114 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly    6: n_toric=19, h11_eff=13,  1668 χ=3 bundles, max h⁰=18 ★★★ HIT ★★★ [NF]
  poly    7: n_toric=16, h11_eff=11,   908 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly    8: n_toric=20, h11_eff=15,  2552 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly    9: n_toric=20, h11_eff=14,  1752 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   10: n_toric=20, h11_eff=14,  1964 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   11: n_toric=20, h11_eff=15,  3582 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly   12: n_toric=20, h11_eff=15,  2560 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   13: n_toric=22, h11_eff=15,  2288 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   14: n_toric=19, h11_eff=13,  1264 χ=3 bundles, max h⁰=20 ★★★ HIT ★★★ [NF]
  poly   15: n_toric=19, h11_eff=14,  2110 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly   16: n_toric=21, h11_eff=15,  2990 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   17: n_toric=20, h11_eff=15,  2204 χ=3 bundles, max h⁰=1
  poly   18: n_toric=20, h11_eff=15,  2954 χ=3 bundles, max h⁰=13 ★★★ HIT ★★★
  poly   19: n_toric=19, h11_eff=14,  1946 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   20: n_toric=19, h11_eff=14,  2038 χ=3 bundles, max h⁰=1 [NF]
  poly   21: n_toric=20, h11_eff=15,  2648 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   22: n_toric=17, h11_eff=12,  1658 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly   23: n_toric=18, h11_eff=13,  1512 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly   24: n_toric=19, h11_eff=14,  1760 χ=3 bundles, max h⁰=1 [NF]
  poly   25: n_toric=16, h11_eff=11,   972 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly   26: n_toric=20, h11_eff=14,  1668 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   27: n_toric=18, h11_eff=13,  1944 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly   28: n_toric=20, h11_eff=15,  2086 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   29: n_toric=18, h11_eff=13,  1308 χ=3 bundles, max h⁰=1 [NF]
  poly   30: n_toric=20, h11_eff=14,  1718 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   31: n_toric=20, h11_eff=15,  2770 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly   32: n_toric=20, h11_eff=15,  2080 χ=3 bundles, max h⁰=1
  poly   33: n_toric=20, h11_eff=15,  2036 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly   34: n_toric=21, h11_eff=15,  2656 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   35: n_toric=21, h11_eff=15,  2672 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   36: n_toric=18, h11_eff=13,  1752 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly   37: n_toric=18, h11_eff=13,  1698 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   38: n_toric=18, h11_eff=13,  1620 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   39: n_toric=22, h11_eff=15,  2120 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   40: n_toric=20, h11_eff=15,  2232 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   41: n_toric=22, h11_eff=15,  2296 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   42: n_toric=19, h11_eff=14,  2174 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly   43: n_toric=20, h11_eff=15,  2534 χ=3 bundles, max h⁰=1
  poly   44: n_toric=20, h11_eff=15,  2622 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   45: n_toric=20, h11_eff=15,  2800 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly   46: n_toric=19, h11_eff=14,  2078 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   47: n_toric=20, h11_eff=15,  1842 χ=3 bundles, max h⁰=1
  poly   48: n_toric=19, h11_eff=14,  2358 χ=3 bundles, max h⁰=8 ★★★ HIT ★★★ [NF]
  poly   49: n_toric=20, h11_eff=15,  3104 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   50: n_toric=20, h11_eff=15,  2434 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   51: n_toric=20, h11_eff=15,  2360 χ=3 bundles, max h⁰=1
  poly   52: n_toric=20, h11_eff=15,  2004 χ=3 bundles, max h⁰=1
  poly   53: n_toric=20, h11_eff=15,  2054 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   54: n_toric=20, h11_eff=15,  2376 χ=3 bundles, max h⁰=1
  poly   55: n_toric=20, h11_eff=15,  2954 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly   56: n_toric=20, h11_eff=15,  2816 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   57: n_toric=20, h11_eff=15,  3074 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   58: n_toric=19, h11_eff=14,  1976 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   59: n_toric=20, h11_eff=15,  2974 χ=3 bundles, max h⁰=1
  poly   60: n_toric=21, h11_eff=15,  2204 χ=3 bundles, max h⁰=1
  poly   61: n_toric=18, h11_eff=13,  1576 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   62: n_toric=19, h11_eff=14,  2272 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★ [NF]
  poly   63: n_toric=20, h11_eff=15,  2434 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   64: n_toric=21, h11_eff=15,  2634 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   65: n_toric=21, h11_eff=15,  2432 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly   66: n_toric=20, h11_eff=15,  2244 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
