
────────────────────────────────────────────────────────────
  h11=16, h21=19  —  5180 polytopes (fetched in 13.3s)
────────────────────────────────────────────────────────────
  poly    0: n_toric=13, h11_eff= 8,   316 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly    1: n_toric=13, h11_eff= 8,   590 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly    2: n_toric=21, h11_eff=14,  2072 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly    3: n_toric=19, h11_eff=13,  1706 χ=3 bundles, max h⁰=7 ★★★ HIT ★★★ [NF]
  poly    4: n_toric=20, h11_eff=14,  2600 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly    5: n_toric=21, h11_eff=16,  1214 χ=3 bundles, max h⁰=1
  poly    6: n_toric=21, h11_eff=16,  1048 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly    7: n_toric=19, h11_eff=13,  1548 χ=3 bundles, max h⁰=36 ★★★ HIT ★★★ [NF]
  poly    8: n_toric=20, h11_eff=15,  2596 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly    9: n_toric=19, h11_eff=14,  2110 χ=3 bundles, max h⁰=13 ★★★ HIT ★★★ [NF]
  poly   10: n_toric=21, h11_eff=16,  1552 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   11: n_toric=18, h11_eff=13,  1678 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly   12: n_toric=19, h11_eff=14,  2870 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   13: n_toric=19, h11_eff=14,  2046 χ=3 bundles, max h⁰=1 [NF]
  poly   14: n_toric=19, h11_eff=14,  1494 χ=3 bundles, max h⁰=1 [NF]
  poly   15: n_toric=21, h11_eff=16,   756 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   16: n_toric=21, h11_eff=16,  1162 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   17: n_toric=18, h11_eff=13,  1692 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   18: n_toric=21, h11_eff=16,   938 χ=3 bundles, max h⁰=1
  poly   19: n_toric=19, h11_eff=14,  3458 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   20: n_toric=18, h11_eff=12,  1070 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   21: n_toric=21, h11_eff=16,   752 χ=3 bundles, max h⁰=1
  poly   22: n_toric=18, h11_eff=13,  1324 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly   23: n_toric=17, h11_eff=12,  1310 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly   24: n_toric=21, h11_eff=15,  2554 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
