/usr/local/lib/python3.12/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  TIER 0.25 FAST PRE-FILTER (early termination + min_h0 bound)
  h¹¹ = [18], limit=all, workers=14
========================================================================

────────────────────────────────────────────────────────────
  h11=18, h21=21  —  100000 polytopes (fetched in 185.9s)
────────────────────────────────────────────────────────────
  [100/100000] 17s, 5.7 poly/s, ETA 17379s, 75 pass / 25 skip
  [200/100000] 27s, 7.4 poly/s, ETA 13534s, 146 pass / 54 skip
  [300/100000] 36s, 8.2 poly/s, ETA 12099s, 210 pass / 90 skip
  [400/100000] 46s, 8.7 poly/s, ETA 11479s, 278 pass / 122 skip
  [500/100000] 53s, 9.3 poly/s, ETA 10644s, 346 pass / 154 skip
  [600/100000] 62s, 9.7 poly/s, ETA 10247s, 409 pass / 191 skip
  [700/100000] 71s, 9.8 poly/s, ETA 10085s, 467 pass / 233 skip
  [800/100000] 80s, 10.0 poly/s, ETA 9962s, 534 pass / 266 skip
  [900/100000] 87s, 10.3 poly/s, ETA 9625s, 594 pass / 306 skip
  [1000/100000] 98s, 10.2 poly/s, ETA 9676s, 648 pass / 352 skip
  [1100/100000] 109s, 10.1 poly/s, ETA 9758s, 704 pass / 396 skip
  [1200/100000] 117s, 10.2 poly/s, ETA 9648s, 767 pass / 433 skip
  [1300/100000] 127s, 10.2 poly/s, ETA 9650s, 825 pass / 475 skip
  [1400/100000] 137s, 10.3 poly/s, ETA 9614s, 882 pass / 518 skip
  [1500/100000] 143s, 10.5 poly/s, ETA 9411s, 951 pass / 549 skip
  [1600/100000] 151s, 10.6 poly/s, ETA 9312s, 1016 pass / 584 skip
  [1700/100000] 160s, 10.6 poly/s, ETA 9252s, 1081 pass / 619 skip
  [1800/100000] 170s, 10.6 poly/s, ETA 9301s, 1152 pass / 648 skip
  [1900/100000] 178s, 10.7 poly/s, ETA 9205s, 1210 pass / 690 skip
  [2000/100000] 189s, 10.6 poly/s, ETA 9282s, 1271 pass / 729 skip
  [2100/100000] 197s, 10.7 poly/s, ETA 9166s, 1322 pass / 778 skip
  [2200/100000] 204s, 10.8 poly/s, ETA 9083s, 1387 pass / 813 skip
  [2300/100000] 213s, 10.8 poly/s, ETA 9060s, 1447 pass / 853 skip
  [2400/100000] 222s, 10.8 poly/s, ETA 9018s, 1519 pass / 881 skip
  [2500/100000] 232s, 10.8 poly/s, ETA 9051s, 1571 pass / 929 skip
