h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,h0_3_count,status
16,19,0,False,8,316,316,3,4,ok
16,19,1,False,8,590,590,3,14,ok
16,19,2,False,14,2072,2072,3,2,ok
16,19,3,False,13,1706,1706,7,48,ok
16,19,4,False,14,2600,2600,3,4,ok
16,19,5,True,16,1214,1214,1,0,ok
16,19,6,True,16,1048,1048,3,30,ok
16,19,7,False,13,1548,1548,36,56,ok
16,19,8,False,15,2596,2596,3,22,ok
16,19,9,False,14,2110,2110,13,36,ok
16,19,10,True,16,1552,1552,3,2,ok
16,19,11,False,13,1678,1678,10,62,ok
16,19,12,False,14,2870,2870,3,8,ok
16,19,13,False,14,2046,2046,1,0,ok
16,19,14,False,14,1494,1494,1,0,ok
16,19,15,True,16,756,756,3,2,ok
16,19,16,True,16,1162,1162,3,4,ok
16,19,17,False,13,1692,1692,3,14,ok
16,19,18,True,16,938,938,1,0,ok
16,19,19,False,14,3458,3458,3,8,ok
16,19,20,False,12,1070,1070,3,2,ok
16,19,21,True,16,752,752,1,0,ok
16,19,22,False,13,1324,1324,6,60,ok
16,19,23,False,12,1310,1310,3,4,ok
16,19,24,False,15,2554,2554,10,144,ok
16,19,25,True,16,1248,1248,3,48,ok
16,19,26,True,16,1120,1120,3,26,ok
16,19,27,True,16,1622,1622,2,0,ok
16,19,28,False,14,2364,2364,7,72,ok
16,19,29,True,16,1624,1624,1,0,ok
16,19,30,True,16,1762,1762,1,0,ok
16,19,31,False,13,1468,1468,4,6,ok
16,19,32,True,16,1732,1732,3,26,ok
16,19,33,True,16,1202,1202,3,42,ok
16,19,34,True,16,1166,1166,3,4,ok
16,19,35,True,16,784,784,1,0,ok
16,19,36,False,15,2426,2426,6,124,ok
16,19,37,False,13,1948,1948,3,4,ok
16,19,38,False,14,1476,1476,11,32,ok
16,19,39,True,16,696,696,1,0,ok
16,19,40,False,13,1380,1380,4,38,ok
16,19,41,True,16,824,824,1,0,ok
16,19,42,True,16,1212,1212,2,0,ok
16,19,43,False,12,1646,1646,10,116,ok
16,19,44,False,14,2152,2152,2,0,ok
16,19,45,True,16,1160,1160,1,0,ok
16,19,46,True,16,928,928,1,0,ok
16,19,47,True,16,1288,1288,2,0,ok
16,19,48,True,16,990,990,3,2,ok
16,19,49,True,16,964,964,3,2,ok
16,19,50,False,12,1236,1236,4,16,ok
16,19,51,False,12,1408,1408,10,102,ok
16,19,52,False,12,1300,1300,4,70,ok
16,19,53,False,14,1886,1886,12,182,ok
16,19,54,True,16,1328,1328,2,0,ok
16,19,55,False,12,940,940,4,50,ok
16,19,56,True,16,1268,1268,2,0,ok
16,19,57,True,16,1430,1430,2,0,ok
16,19,58,True,16,1110,1110,3,6,ok
16,19,59,False,12,812,812,2,0,ok
16,19,60,True,16,1544,1544,1,0,ok
16,19,61,False,14,2008,2008,1,0,ok
16,19,62,False,14,2106,2106,3,12,ok
16,19,63,False,13,1406,1406,13,56,ok
16,19,64,True,16,1240,1240,3,2,ok
16,19,65,True,16,1048,1048,3,8,ok
16,19,66,True,16,1422,1422,3,6,ok
16,19,67,True,16,872,872,1,0,ok
16,19,68,True,16,1078,1078,3,4,ok
16,19,69,False,15,2178,2178,4,10,ok
16,19,70,True,16,1114,1114,3,4,ok
16,19,71,True,16,1120,1120,1,0,ok
16,19,72,True,16,1072,1072,1,0,ok
16,19,73,False,12,1584,1584,12,56,ok
16,19,74,False,14,1940,1940,4,80,ok
16,19,75,True,16,1702,1702,3,10,ok
16,19,76,False,14,1956,1956,9,104,ok
16,19,77,True,16,1300,1300,5,50,ok
16,19,78,False,14,1934,1934,1,0,ok
16,19,79,False,14,1864,1864,1,0,ok
16,19,80,True,16,1174,1174,3,2,ok
16,19,81,True,16,1402,1402,3,4,ok
16,19,82,False,13,1362,1362,6,52,ok
16,19,83,True,16,1362,1362,5,70,ok
16,19,84,False,13,1636,1636,3,12,ok
16,19,85,True,16,1150,1150,1,0,ok
16,19,86,False,14,1880,1880,10,126,ok
16,19,87,True,16,1164,1164,3,2,ok
16,19,88,False,14,1500,1500,18,100,ok
16,19,89,True,16,1194,1194,1,0,ok
16,19,90,True,16,1326,1326,3,2,ok
16,19,91,False,14,1834,1834,11,102,ok
16,19,92,True,16,1252,1252,3,6,ok
16,19,93,False,14,1792,1792,5,48,ok
16,19,94,False,14,1866,1866,4,16,ok
16,19,95,True,16,1484,1484,3,4,ok
16,19,96,False,14,2162,2162,4,24,ok
16,19,97,True,16,1644,1644,2,0,ok
16,19,98,True,16,1464,1464,2,0,ok
16,19,99,False,15,2324,2324,6,40,ok
16,19,100,False,15,2606,2606,3,2,ok
16,19,101,True,16,1434,1434,2,0,ok
16,19,102,True,16,1444,1444,1,0,ok
16,19,103,True,16,1036,1036,3,4,ok
16,19,104,False,15,2946,2946,1,0,ok
16,19,105,False,15,2506,2506,12,76,ok
16,19,106,True,16,1306,1306,6,54,ok
16,19,107,True,16,1150,1150,6,34,ok
16,19,108,True,16,1306,1306,1,0,ok
16,19,109,False,14,2356,2356,1,0,ok
16,19,110,True,16,1062,1062,1,0,ok
