h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
15,18,0,False,13,1170,1170,0,-1,1170,skip
15,18,1,False,14,1388,343,3,343,342,pass
15,18,2,True,15,2992,2992,0,-1,2992,skip
15,18,3,True,15,2586,1985,3,1985,1984,pass
15,18,4,False,13,1230,513,4,513,512,pass
15,18,5,True,15,3114,809,3,809,808,pass
15,18,6,False,13,1668,11,6,11,10,pass
15,18,7,False,11,908,702,3,702,701,pass
15,18,8,True,15,2552,1,3,1,0,pass
15,18,9,False,14,1752,833,4,833,832,pass
15,18,10,False,14,1964,86,3,86,85,pass
15,18,11,True,15,3582,3582,0,-1,3582,skip
15,18,12,True,15,2560,80,3,80,79,pass
15,18,13,True,15,2288,1765,3,1765,1764,pass
15,18,14,False,13,1264,6,3,6,5,pass
15,18,15,False,14,2110,454,3,454,453,pass
15,18,16,True,15,2990,92,3,92,91,pass
15,18,17,True,15,2204,2204,0,-1,2204,skip
15,18,18,True,15,2954,129,3,129,128,pass
15,18,19,False,14,1946,1210,3,1210,1209,pass
15,18,20,False,14,2038,2038,0,-1,2038,skip
15,18,21,True,15,2648,1355,3,1355,1354,pass
15,18,22,False,12,1658,75,3,75,74,pass
15,18,23,False,13,1512,40,3,40,39,pass
15,18,24,False,14,1760,1760,0,-1,1760,skip
15,18,25,False,11,972,8,3,8,7,pass
15,18,26,False,14,1668,1318,3,1318,1317,pass
15,18,27,False,13,1944,1944,0,-1,1944,skip
15,18,28,True,15,2086,1,3,1,0,pass
15,18,29,False,13,1308,1308,0,-1,1308,skip
15,18,30,False,14,1718,245,3,245,244,pass
15,18,31,True,15,2770,1,3,1,0,pass
15,18,32,True,15,2080,2080,0,-1,2080,skip
15,18,33,True,15,2036,1,3,1,0,pass
15,18,34,True,15,2656,1892,3,1892,1891,pass
15,18,35,True,15,2672,1,3,1,0,pass
15,18,36,False,13,1752,93,3,93,92,pass
15,18,37,False,13,1698,851,3,851,850,pass
15,18,38,False,13,1620,655,3,655,654,pass
15,18,39,True,15,2120,1243,3,1243,1242,pass
15,18,40,True,15,2232,115,4,115,114,pass
15,18,41,True,15,2296,188,3,188,187,pass
15,18,42,False,14,2174,2174,0,-1,2174,skip
15,18,43,True,15,2534,2534,0,-1,2534,skip
15,18,44,True,15,2622,8,3,8,7,pass
15,18,45,True,15,2800,339,6,339,338,pass
15,18,46,False,14,2078,780,3,780,779,pass
15,18,47,True,15,1842,1842,0,-1,1842,skip
15,18,48,False,14,2358,62,3,62,61,pass
15,18,49,True,15,3104,481,3,481,480,pass
15,18,50,True,15,2434,1374,3,1374,1373,pass
15,18,51,True,15,2360,2360,0,-1,2360,skip
15,18,52,True,15,2004,2004,0,-1,2004,skip
15,18,53,True,15,2054,398,3,398,397,pass
15,18,54,True,15,2376,2376,0,-1,2376,skip
15,18,55,True,15,2954,97,3,97,96,pass
15,18,56,True,15,2816,15,3,15,14,pass
15,18,57,True,15,3074,2057,3,2057,2056,pass
15,18,58,False,14,1976,241,3,241,240,pass
15,18,59,True,15,2974,2974,0,-1,2974,skip
15,18,60,True,15,2204,2204,0,-1,2204,skip
15,18,61,False,13,1576,12,3,12,11,pass
15,18,62,False,14,2272,117,3,117,116,pass
15,18,63,True,15,2434,412,3,412,411,pass
15,18,64,True,15,2634,1305,4,1305,1304,pass
15,18,65,True,15,2432,18,3,18,17,pass
15,18,66,True,15,2244,1,4,1,0,pass
15,18,67,False,14,1428,24,3,24,23,pass
15,18,68,True,15,2418,2418,0,-1,2418,skip
15,18,69,True,15,2604,24,3,24,23,pass
15,18,70,True,15,2270,79,3,79,78,pass
