rank,h11,poly_idx,favorable,h11_eff,tier15_score,probe_n_chi3,probe_truncated,probe_max_h0,probe_h0_ge3,probe_clean,n_k3_fib,n_ell_fib,elapsed_s
1,18,32,False,14,40,300,True,30,89,21,4,4,5.6
2,17,53,False,14,40,300,True,10,74,20,3,3,4.8
3,18,31,False,14,40,300,True,20,90,18,4,4,5.3
4,15,61,False,13,40,300,True,4,40,15,3,3,5.3
5,16,53,False,14,40,300,True,12,70,14,5,6,5.0
6,17,25,False,14,40,300,True,4,42,13,6,8,5.7
7,19,16,False,12,40,300,True,13,64,12,5,6,4.5
8,19,53,False,15,39,300,True,16,98,31,3,3,6.1
9,17,71,False,16,39,300,True,10,68,22,4,4,6.7
10,18,23,False,15,39,300,True,16,72,19,4,4,5.2
11,18,87,False,16,39,300,True,4,87,17,4,4,5.6
12,18,45,False,15,39,300,True,4,38,17,4,4,5.6
13,19,10,False,15,39,300,True,4,52,16,4,4,4.8
14,19,29,False,15,39,300,True,4,37,15,5,8,6.0
15,16,99,False,15,39,300,True,6,34,14,4,4,4.5
16,18,24,False,15,39,300,True,4,28,12,4,4,4.9
17,18,89,False,16,39,300,True,5,68,12,4,4,5.8
18,18,97,True,18,38,300,True,3,60,30,4,4,6.8
19,18,91,False,17,38,300,True,3,56,28,4,4,5.8
20,18,98,True,18,38,300,True,3,55,27,4,4,5.8
21,18,22,True,18,38,300,True,3,48,24,4,4,6.0
22,18,20,True,18,38,300,True,3,28,14,4,4,5.5
23,18,93,False,17,38,300,True,3,25,12,4,4,5.4
24,14,2,False,13,36,300,True,11,80,17,3,1,4.9
25,16,95,True,16,35,300,True,10,60,19,3,1,5.6
26,17,34,False,16,35,300,True,10,42,18,3,1,5.4
27,19,2,False,16,35,300,True,10,40,14,3,1,4.8
28,16,25,True,16,35,300,True,4,28,13,3,1,4.9
29,19,5,False,15,35,300,True,10,40,11,3,1,6.7
30,15,67,False,14,35,300,True,9,24,10,4,4,4.5
31,17,51,False,14,35,300,True,10,56,10,3,3,4.4
32,17,8,False,13,35,300,True,7,30,8,3,3,4.3
33,15,25,False,11,35,300,True,10,28,8,3,3,4.4
34,16,93,False,14,35,300,True,5,32,8,3,3,5.2
35,17,32,False,13,35,300,True,6,42,8,3,3,5.8
36,15,23,False,13,35,300,True,4,22,7,4,6,4.1
37,15,86,False,13,35,300,True,9,18,7,5,6,5.5
38,16,1,False,8,35,300,True,3,14,7,5,6,4.0
39,17,21,False,13,35,300,True,10,28,6,4,6,4.1
40,16,73,False,12,35,300,True,10,22,6,3,3,4.8
41,16,74,False,14,35,300,True,4,18,6,5,10,4.5
42,16,28,False,14,35,300,True,7,32,5,4,4,4.2
43,17,58,False,13,35,300,True,4,30,5,3,3,4.5
44,16,22,False,13,35,300,True,4,12,5,4,6,5.0
45,17,45,False,13,35,300,True,9,22,5,6,8,4.2
46,16,55,False,12,35,300,True,4,21,5,5,6,4.7
47,17,89,False,14,35,300,True,4,11,4,3,3,4.3
48,17,52,False,14,34,300,True,10,69,19,2,1,4.9
49,17,96,False,13,34,300,True,37,74,18,2,1,5.0
50,19,22,False,17,34,300,True,5,40,16,3,1,5.9
51,19,75,False,18,34,300,True,5,38,15,3,1,5.1
52,18,40,False,14,34,300,True,10,56,12,2,1,5.2
53,18,81,False,16,34,300,True,3,20,10,4,4,5.0
54,18,25,False,16,34,300,True,4,56,9,4,4,5.7
55,17,72,False,15,34,300,True,4,24,8,4,4,4.8
56,18,72,False,15,34,300,True,20,61,8,4,4,4.6
57,18,9,False,16,34,300,True,4,25,8,4,4,6.2
58,16,33,True,16,34,300,True,4,16,7,5,6,4.6
59,16,75,True,16,34,300,True,4,34,6,8,11,4.1
60,18,85,False,16,34,300,True,4,39,6,4,4,5.4
61,18,46,False,16,34,300,True,4,64,5,4,4,5.1
62,17,70,False,15,34,300,True,4,31,4,5,6,4.7
63,16,32,True,16,34,300,True,4,15,4,5,6,4.6
64,17,76,False,16,33,300,True,9,52,14,2,1,5.2
65,17,59,False,15,33,300,True,6,42,12,2,1,4.8
66,17,75,False,16,33,300,True,10,39,11,2,1,4.9
67,18,92,False,17,33,300,True,3,10,5,4,4,5.7
68,19,66,False,17,32,300,True,8,81,26,2,1,5.4
69,19,37,False,18,32,300,True,5,50,16,2,1,5.7
70,19,39,False,17,32,300,True,5,46,13,2,1,6.8
71,19,15,False,14,31,300,True,5,58,7,4,1,5.1
72,16,43,False,12,31,300,True,4,28,6,3,1,4.4
73,16,51,False,12,31,300,True,4,30,6,3,1,3.9
74,19,7,False,13,31,300,True,4,52,6,3,1,4.6
75,18,41,False,10,31,300,True,17,36,6,3,1,4.4
76,16,82,False,13,31,300,True,6,28,4,3,1,5.3
77,16,9,False,14,31,300,True,13,10,4,3,1,4.3
78,17,4,False,11,31,300,True,12,24,4,4,1,4.9
79,17,3,False,11,31,300,True,8,24,4,4,1,5.2
80,18,94,False,17,31,300,True,3,8,4,4,4,6.3
81,17,9,False,13,30,300,True,10,124,19,1,0,5.4
82,18,75,False,15,30,300,True,4,62,10,3,1,5.1
83,16,83,True,16,30,300,True,4,31,9,3,1,4.6
84,16,26,True,16,30,300,True,9,32,9,3,1,4.6
85,19,19,False,16,30,300,True,10,30,8,3,1,4.9
86,16,66,True,16,30,300,True,10,16,7,3,1,5.6
87,18,69,False,15,30,300,True,10,38,5,3,1,4.1
88,16,76,False,14,30,300,True,4,32,3,4,6,4.8
89,18,84,False,14,30,300,True,4,46,3,6,8,5.0
