rank,h11,poly_idx,favorable,screen_score,clean_h0_3,h0_ge3,max_h0,n_dp,n_k3,has_swiss,best_tau,best_ratio,sym_order,n_chi3,elapsed_s
1,18,8,False,41,-1,-1,16,7,1,True,12.911132812500524,0.0026103459261600692,2,-1,0.8
2,16,329,False,41,-1,-1,15,6,1,True,108.97877697366786,0.033824570362280953,2,-1,1.0
3,18,74,False,40,-1,-1,20,5,1,True,0.30104063007233683,1.1925734707461416e-05,1,-1,0.7
4,14,5,False,40,-1,-1,17,5,0,True,323.99999999999727,0.0059096341435439905,1,-1,0.5
5,17,90,False,40,-1,-1,16,5,4,True,1167.9999999999864,0.040194315353217,1,-1,0.6
6,16,63,False,40,-1,-1,13,5,2,True,836.1983471074336,0.04191905288648908,1,-1,0.7
7,17,41,False,40,-1,-1,12,6,1,True,329.999999999993,0.005882749936761339,1,-1,0.8
8,17,63,False,40,-1,-1,12,6,1,True,83.99999999999986,0.009335366883031918,1,-1,0.6
9,16,91,False,40,-1,-1,11,5,2,True,213.99999999998593,0.0030831303111894227,1,-1,0.6
10,18,34,False,40,-1,-1,11,5,1,True,2.1008854788046424e-15,1.8350376819770962e-19,1,-1,0.7
11,15,33,True,40,-1,-1,10,9,1,True,4640.256949987903,0.030728339383634822,1,-1,1.0
12,15,94,False,40,-1,-1,10,5,3,True,241.49999999999946,0.012132407354279074,1,-1,1.2
13,16,11,False,40,-1,-1,10,5,1,True,149.99999999999437,0.0044056270309480025,1,-1,0.6
14,16,24,False,40,-1,-1,10,8,1,True,235.000000012069,0.0008036789629620273,1,-1,0.6
15,16,86,False,40,-1,-1,10,5,1,True,1535.9999999996921,0.06435084465897208,1,-1,0.8
16,17,57,False,40,-1,-1,10,7,2,True,881.9999999999895,0.03663332743954747,1,-1,0.7
17,17,81,False,40,-1,-1,10,5,1,True,566.9999999998803,0.026826168085987114,1,-1,0.7
18,19,35,False,40,-1,-1,10,5,1,True,1924.9999999981328,0.015030157836308105,1,-1,0.7
19,19,67,False,40,-1,-1,10,6,1,True,24.000000000003865,0.0005004022290844074,1,-1,0.7
20,19,68,False,40,-1,-1,10,6,1,True,412.49999999999716,0.03934751861134635,1,-1,0.6
21,15,127,True,40,-1,-1,17,8,0,True,193.49999999997613,0.0034685730081645714,1,-1,0.9
22,15,214,True,40,-1,-1,15,7,0,True,251.99999999999343,0.025332850911723732,1,-1,2.6
23,15,221,True,40,-1,-1,13,8,1,True,472.4325450900595,0.016105166942687522,1,-1,2.4
24,15,133,True,40,-1,-1,10,6,1,True,341.32231404964955,0.020636451563902623,1,-1,1.7
25,15,144,True,40,-1,-1,10,5,2,True,312.4999999999293,0.008248029093289228,1,-1,1.5
26,15,180,True,40,-1,-1,10,6,1,True,881.8294917833143,0.04668595849172828,1,-1,1.2
27,15,183,True,40,-1,-1,10,5,0,True,1154.2698673311243,0.013258107111147797,1,-1,1.8
28,15,252,True,40,-1,-1,10,8,2,True,2799.4999999874403,0.014732598235758124,1,-1,2.7
29,15,356,True,40,-1,-1,10,8,2,True,1137.499999999995,0.06149968594217266,1,-1,3.4
30,15,397,True,40,-1,-1,10,7,0,True,88.99999999999295,0.011632322625797626,1,-1,3.7
31,15,399,True,40,-1,-1,10,5,0,True,34.00000000000917,0.0010482392272545382,1,-1,2.8
32,16,231,False,40,-1,-1,19,6,1,True,149.98836912028824,0.007297852957356145,1,-1,0.8
33,16,204,False,40,-1,-1,15,6,0,True,416.4999999999965,0.010439317713875722,1,-1,0.8
34,16,1147,False,40,-1,-1,13,9,1,True,58.99999999999881,0.0018916528735475632,1,-1,3.1
35,16,169,False,40,-1,-1,12,5,3,True,109.99999999999727,0.04168900067269169,1,-1,1.0
36,18,6,False,38,-1,-1,22,4,1,True,587.9999999999973,0.012080909346254876,1,-1,0.7
37,18,23,False,38,-1,-1,20,4,1,True,402.4999999999585,0.03438798263220522,1,-1,0.6
38,17,21,False,38,-1,-1,13,4,2,True,242.99999999998613,0.007886185527959378,1,-1,0.8
39,17,8,False,38,-1,-1,10,4,0,True,2207.9999999999204,0.06819239047407746,1,-1,0.6
40,19,5,False,38,-1,-1,10,4,1,True,138.4999999998117,0.000913880843876678,1,-1,0.6
41,19,50,False,38,-1,-1,10,4,1,True,575.9999999997251,0.004624181762823962,1,-1,0.7
42,16,1102,False,38,-1,-1,12,4,3,True,237.49999999999852,0.06584104574052883,1,-1,3.2
43,19,36,False,37,-1,-1,10,3,1,True,163.99999999920306,0.0006120144996141039,2,-1,0.6
44,18,31,False,36,-1,-1,20,3,1,True,9.869148531623685e-12,8.354887124063807e-16,1,-1,0.7
45,16,88,False,36,-1,-1,18,3,2,True,4427.177937716932,0.018000884174596374,1,-1,0.6
46,18,54,False,36,-1,-1,16,3,1,True,937.4999999999843,0.06880789146332277,1,-1,0.7
47,19,53,False,36,-1,-1,16,3,1,True,2887.4999999963156,0.02619562671018297,1,-1,0.7
48,18,59,False,36,-1,-1,14,3,1,True,210.49999999966593,0.003707433906204376,1,-1,0.6
49,16,73,False,36,-1,-1,12,3,1,True,107.99999999989888,0.001533801675484521,1,-1,0.6
50,14,2,False,36,-1,-1,11,3,2,True,58.49999999999601,0.0011286579916438898,1,-1,0.5
51,16,43,False,36,-1,-1,10,3,2,True,560.0000000000067,0.03593704868758142,1,-1,0.6
52,17,17,False,36,-1,-1,10,3,0,True,3165.499999995174,0.020708366517930166,1,-1,0.7
53,17,47,False,36,-1,-1,10,3,0,True,47.11111111111005,0.0016888571929435834,1,-1,0.7
54,17,60,False,36,-1,-1,10,3,0,True,2194.4999999994425,0.03840296006830545,1,-1,0.7
55,17,38,False,36,-1,-1,6,5,0,True,19.999010835620012,0.0003935864642942606,2,-1,0.7
56,19,15,False,36,-1,-1,5,8,0,True,251.99999999999807,0.0108024979522264,2,-1,0.7
57,16,212,False,36,-1,-1,14,3,1,True,49.99999999999733,0.0021443516725652033,1,-1,1.0
58,16,120,False,36,-1,-1,12,3,3,True,199.9999999999991,0.03708798213156537,1,-1,0.8
59,16,76,False,35,-1,-1,9,6,0,True,412.5000000000225,0.0421692818511428,1,-1,0.6
60,16,28,False,35,-1,-1,7,9,0,True,412.4999999976483,0.001592989029482284,1,-1,0.7
61,16,82,False,35,-1,-1,6,5,3,True,107.99999999998806,0.006763881265563648,1,-1,0.6
62,17,59,False,35,-1,-1,6,5,2,True,293.9999999999035,0.008162471756201287,1,-1,0.6
63,19,70,False,35,-1,-1,6,7,0,True,539.9999999999969,0.02970851969280485,1,-1,0.7
64,15,6,False,34,-1,-1,18,2,2,True,899.9999999998108,0.015633797259165763,1,-1,1.3
65,18,36,False,34,-1,-1,16,2,1,True,1458.0000000000025,0.05705393014816317,1,-1,0.6
66,15,67,False,34,-1,-1,10,2,0,True,127.99999999999963,0.030004318453970134,1,-1,1.4
67,17,48,False,34,-1,-1,10,2,0,True,1701.2525506260872,0.09868990513197075,1,-1,0.6
68,15,18,True,33,-1,-1,13,9,1,False,,,4,-1,1.4
69,19,73,False,33,-1,-1,10,4,3,True,99.99999999999245,0.0018286537925686869,1,-1,0.7
70,16,38,False,32,-1,-1,11,1,1,True,599.9999992556943,0.001474197558219208,1,-1,0.6
71,15,25,False,32,-1,-1,10,1,2,True,5255.162396214395,0.07244806662037648,1,-1,2.1
72,17,52,False,32,-1,-1,10,1,2,True,79.9999999999984,0.002146899573103549,1,-1,0.6
73,18,57,False,32,-1,-1,10,1,1,True,67.49999999999916,0.010407826537196959,1,-1,0.6
74,15,9,False,32,-1,-1,4,5,0,True,20.99999999999998,0.00047275886116151725,2,-1,0.6
75,15,12,True,32,-1,-1,4,4,2,True,870.7407883666646,0.037170096060159794,4,-1,0.6
76,15,35,True,32,-1,-1,4,10,1,True,69.00000000009516,0.0004448851525009642,2,-1,0.7
77,15,83,True,32,-1,-1,4,11,1,True,41.999999999999986,0.0009925631543691894,2,-1,0.7
78,15,92,True,32,-1,-1,4,8,1,True,285.33333333331393,0.030524897470128567,2,-1,0.6
79,17,23,False,32,-1,-1,4,7,1,True,119.99999999999964,0.015358763861544058,2,-1,0.6
80,17,61,False,32,-1,-1,4,10,2,True,2337.9999999998563,0.05831475575427748,2,-1,0.6
81,17,70,False,32,-1,-1,4,9,1,True,995.9999999923755,0.008909646817310034,2,-1,0.6
82,18,84,False,32,-1,-1,4,8,0,True,919.999999999992,0.05438127279638053,2,-1,0.7
83,19,54,False,32,-1,-1,4,8,1,True,364.499999999954,0.0058814472116376255,2,-1,0.7
84,19,76,False,32,-1,-1,4,7,1,True,161.98981255683134,0.005525455623648929,2,-1,0.8
85,15,46,False,32,-1,-1,3,9,1,True,799.9999999995285,0.02246818151004951,2,-1,0.6
86,19,16,False,31,-1,-1,13,5,0,False,None,None,2,-1,0.6
87,17,9,False,31,-1,-1,10,0,0,True,71.98665944476318,0.008436434182333405,2,-1,0.7
88,18,35,False,31,-1,-1,8,3,1,True,1314.0000000000005,0.04758066171722858,1,-1,0.6
89,19,52,False,31,-1,-1,7,3,1,True,86.48437499904006,0.0002453531862036798,1,-1,0.6
90,19,31,False,31,-1,-1,6,5,1,True,1356.9999999957727,0.008452891194133637,2,-1,0.6
91,19,34,False,31,-1,-1,6,5,1,True,539.7835506320233,0.007512980049694802,2,-1,0.6
92,13,1,True,31,-1,-1,5,3,1,True,10.000000000000018,0.002190967605624591,1,-1,0.5
93,15,44,True,31,-1,-1,4,5,3,True,15.124999999993463,0.0008109700822260348,1,-1,0.6
94,15,63,True,31,-1,-1,4,5,1,True,743.9999999977383,0.0047333770906374,1,-1,0.7
95,15,65,True,31,-1,-1,4,7,0,True,2788.499999999661,0.08738595221921143,1,-1,0.7
96,15,70,True,31,-1,-1,4,6,0,True,316.05349434519127,0.0353175899452505,1,-1,0.6
97,15,79,True,31,-1,-1,4,5,2,True,14.992636523006203,0.00034697143792086435,1,-1,0.8
98,16,74,False,31,-1,-1,4,7,1,True,113.97954399456773,0.012687116997096813,1,-1,0.7
99,16,94,False,31,-1,-1,4,8,1,True,6.000037231261999,0.0007417618218798392,1,-1,0.6
100,17,35,False,31,-1,-1,4,5,3,True,543.9999999996711,0.012118563869354724,1,-1,0.6
101,17,62,False,31,-1,-1,4,7,2,True,868.9999999999856,0.034473089754126614,1,-1,0.6
102,17,72,False,31,-1,-1,4,5,2,True,1124.999999999889,0.07442417989949851,1,-1,0.6
103,17,86,False,31,-1,-1,4,8,1,True,179.98739669930353,0.008780933019749625,1,-1,0.7
104,17,89,False,31,-1,-1,4,7,3,True,2597.9999999997935,0.06517140160495624,1,-1,0.7
105,18,24,False,31,-1,-1,4,5,2,True,439.9999999978579,0.007832448529596185,1,-1,0.7
106,19,10,False,31,-1,-1,4,5,0,True,3271.4999999975535,0.041022818370156006,1,-1,0.7
107,15,37,False,31,-1,-1,3,5,1,True,37.49999999999956,0.00167287514870828,1,-1,0.6
108,15,41,True,31,-1,-1,3,7,1,True,14435.999997515852,0.02287833713807558,1,-1,0.6
109,15,53,True,31,-1,-1,3,6,1,True,479.9999999999971,0.028548762248770412,1,-1,0.6
110,15,74,True,31,-1,-1,3,6,0,True,2999.999999999007,0.06489722512714029,1,-1,0.6
111,15,82,True,31,-1,-1,3,7,1,True,8987.99999997018,0.09016726170233516,1,-1,0.6
112,15,90,True,31,-1,-1,3,7,0,True,435.49999999235274,0.0031751016489965284,1,-1,0.7
113,16,84,False,31,-1,-1,3,5,1,True,1403.999999999899,0.035428301640074066,1,-1,0.6
114,16,719,False,31,-1,-1,17,7,0,False,,,2,-1,1.9
115,17,96,False,30,-1,-1,37,0,2,True,251.99999999998963,0.022339598990628214,1,-1,0.6
