rank,h11,poly_idx,favorable,h11_eff,tier2_score,clean_h0_3,h0_ge3,max_h0,n_chi3,n_k3_fib,n_ell_fib,d3_min,d3_max,d3_n_distinct,d3_clean_values,n_overflow,elapsed_s
1,16,3,False,13,45,86,458,15,16504,4,4,-63.0,95.0,144,-40|-35|-33|-32|-31|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-12|-11|-8|-4|0,0,229.6
2,16,40,False,13,45,69,324,7,11932,5,6,-68.0,101.0,148,-54|-45|-41|-38|-36|-33|-31|-29|-28|-27|-26|-25|-24|-22|-21|-19|-18|-15|-14|-13|-12|-9|-7|-5|-4|-2,0,188.7
3,18,86,False,16,44,40,120,4,2602,4,4,-54.0,80.0,110,-36|-31|-24|-21|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-6|-4,0,39.2
4,18,88,False,16,44,36,114,4,3160,4,4,-54.0,81.0,107,-37|-36|-31|-28|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-9|-5|-4,0,45.1
5,18,47,False,16,44,34,140,4,3238,4,4,-49.0,79.0,118,-40|-36|-24|-22|-21|-20|-19|-16|-15|-14|-13|-12|-8|-7|-6|-5|-4|-3|0,0,44.8
6,16,76,False,14,42,15,104,9,1956,4,6,-48.0,80.0,105,-18|-17|-16|-15|-9|-8|-7|-6|-5|0|1,0,26.5
7,16,83,True,16,40,56,170,10,3240,3,1,-54.0,84.0,119,-29|-27|-24|-23|-22|-21|-20|-19|-18|-16|-15|-14|-12|-11|-10|-9|-8|-5|-4|-2,0,49.3
8,18,75,False,15,40,40,132,4,2052,3,1,-54.0,85.0,115,-36|-35|-24|-22|-21|-19|-17|-14|-13|-11|-8|-7|-5|-4|-3|-2|9,0,32.8
9,18,69,False,15,40,33,102,10,2360,3,1,-54.0,84.0,112,-36|-26|-24|-23|-22|-19|-18|-16|-15|-14|-13|-12|-11|-8|-5|-4|-3,0,33.5
10,16,26,True,16,40,22,128,9,2730,3,1,-45.0,82.0,108,-35|-33|-25|-24|-22|-21|-20|-19|-18|-15|-14|-12|-11|-10|-8|0,0,41.1
11,16,66,True,16,40,22,46,10,2854,3,1,-54.0,98.0,102,-46|-40|-37|-34|-32|-27|-26|-25|-23|-12|0,0,43.2
12,15,14,False,13,39,76,588,44,11510,2,1,-62.0,107.0,159,-46|-43|-40|-29|-28|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-15|-14|-12|-9|-8|-7|-6|-5|-4|-3|-2|0,0,188.8
13,18,57,False,12,39,60,330,17,10528,2,1,-57.0,96.0,142,-40|-39|-38|-37|-36|-34|-33|-32|-31|-30|-28|-27|-25|-24|-23|-22|-20|-19|-14|-13|-12|-11|-10|-8|-7|-5|-4|-1|2,0,130.6
14,17,35,False,14,39,28,70,4,2144,2,1,-40.0,84.0,96,-36|-29|-24|-22|-20|-18|-17|-16|-15|-13|-12|-11|-10|-9|-8|-7|-4,0,28.2
15,19,64,False,11,39,25,146,18,3696,2,1,-57.0,104.0,139,-56|-51|-44|-43|-39|-30|-27|-22|-20|-15|-14|-13|-12|-9|-8|-6|-1|9,0,59.6
16,17,42,False,14,39,8,50,12,1404,6,8,-63.0,88.0,106,-35|-27|-24|-19|-17|-4,0,21.0
17,18,42,False,15,38,39,94,8,2544,2,1,-46.0,84.0,102,-46|-30|-22|-19|-18|-16|-15|-14|-13|-12|-9|-8|0,0,34.3
18,19,69,False,15,38,37,100,5,2356,2,1,-41.0,82.0,114,-41|-39|-38|-26|-25|-24|-23|-22|-20|-16|-14|-13|-12|-11|-10|-7|-6|-3|-1,0,26.3
19,18,67,False,16,38,37,98,10,2764,2,1,-54.0,87.0,106,-34|-24|-18|-16|-15|-14|-13|-12|-11|-10|-8|-5|-4|-3,0,30.9
