rank,h11,poly_idx,favorable,h11_eff,tier2_score,clean_h0_3,h0_ge3,max_h0,n_chi3,n_k3_fib,n_ell_fib,d3_min,d3_max,d3_n_distinct,d3_clean_values,n_overflow,elapsed_s
1,17,8,False,13,45,159,558,13,12928,3,3,-60.0,108.0,152,-55|-52|-51|-47|-44|-42|-41|-40|-39|-38|-37|-36|-35|-34|-33|-32|-31|-30|-29|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-3|-1|0,0,205.8
2,15,23,False,13,45,119,524,20,14172,4,6,-68.0,99.0,157,-54|-52|-48|-45|-44|-43|-41|-40|-39|-38|-37|-35|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-5|-4|-3|-1|0|1|2,0,156.9
3,17,21,False,13,45,118,532,13,12166,4,6,-55.0,96.0,150,-55|-52|-41|-40|-39|-37|-36|-34|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-12|-11|-10|-8|-6|-4|-2,0,100.8
4,15,61,False,13,45,103,338,4,13256,3,3,-59.0,98.0,146,-52|-46|-45|-43|-40|-39|-37|-36|-35|-34|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-19|-18|-17|-16|-15|-14|-13|-12|-8|-7|-5|-4,0,208.7
5,15,25,False,11,45,95,418,13,6014,3,3,-61.0,99.0,152,-41|-40|-37|-34|-33|-32|-31|-30|-29|-28|-27|-25|-24|-23|-22|-21|-20|-19|-17|-16|-15|-14|-13|-12|-11|-10|-9|-7|-6|-5|-2|2,0,86.7
6,17,32,False,13,45,95,438,13,10616,3,3,-66.0,109.0,150,-46|-35|-33|-32|-30|-28|-27|-25|-24|-23|-22|-20|-19|-18|-17|-16|-15|-14|-12|-11|-8|-7|-5|-3|-2|4,0,180.0
7,16,73,False,12,45,74,382,12,11212,3,3,-60.0,100.0,150,-44|-43|-41|-40|-39|-37|-36|-33|-32|-31|-30|-28|-27|-26|-25|-24|-23|-22|-20|-19|-17|-14|-13|-12|-11|-9|-8|-7|-6|-5|-3|-1|1,0,85.8
8,19,16,False,12,45,69,564,27,7652,5,6,-74.0,113.0,168,-50|-44|-39|-35|-32|-31|-30|-29|-27|-26|-25|-24|-23|-22|-21|-20|-19|-15|-14|-13|-12|-11|-10|-9|-8|-5|-4|-3|-2|-1|1|6,0,122.0
9,15,86,False,13,45,57,172,9,15862,5,6,-54.0,84.0,125,-48|-35|-31|-27|-25|-24|-23|-21|-20|-18|-17|-16|-15|-14|-12|-11|-10|-9|-8|-7|-6|-5|-4,0,119.5
10,18,32,False,14,45,49,192,30,1672,4,4,-64.0,114.0,116,-44|-38|-32|-28|-26|-24|-23|-16|-14|-13|-10|-8|-7|-4|-3,0,29.4
11,17,53,False,14,45,45,174,10,1968,3,3,-61.0,108.0,139,-44|-40|-32|-26|-24|-23|-21|-20|-18|-16|-15|-14|-13|-12|-11|-10|-8|-6|-4|0,0,36.4
12,15,67,False,14,45,31,90,10,1428,4,4,-46.0,86.0,106,-25|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-10|-9|-8|-7,0,22.5
13,16,53,False,14,45,30,182,12,1886,5,6,-54.0,94.0,121,-44|-35|-27|-25|-24|-20|-19|-17|-16|-15|-13|-10|-9|-8|-6|-5|-1|0,0,27.0
14,17,51,False,14,45,30,156,10,1950,3,3,-60.0,108.0,124,-36|-34|-31|-28|-24|-21|-20|-19|-18|-16|-14|-13|-12|-8|-4|0,0,28.7
15,18,31,False,14,45,29,124,20,1424,4,4,-56.0,81.0,105,-44|-41|-38|-27|-24|-23|-17|-16|-14|-13|-11|-10|-9|-8|-7,0,24.7
16,18,24,False,15,44,41,94,4,1804,4,4,-53.0,87.0,113,-38|-36|-28|-27|-24|-19|-18|-17|-16|-15|-13|-9|-4,0,29.1
17,18,23,False,15,44,37,158,20,2092,4,4,-54.0,81.0,118,-41|-40|-38|-35|-31|-30|-27|-25|-24|-23|-21|-20|-18|-17|-16|-15|-13|-12|-11|-10|-9|-8|-7|0,0,32.1
18,19,53,False,15,44,34,108,16,1842,3,3,-65.0,108.0,122,-47|-40|-39|-36|-35|-34|-32|-29|-27|-25|-24|-23|-22|-21|-20|-16|-15|-13|-12|-10|-8|-6|-5|-3|0|2,0,28.3
19,19,29,False,15,44,31,88,4,2756,5,8,-41.0,84.0,113,-35|-34|-31|-29|-26|-24|-23|-22|-20|-19|-16|-15|-14|-12|-11|-10|-8|-7|-4,0,36.6
20,17,71,False,16,44,25,76,10,2878,4,4,-62.0,81.0,102,-46|-42|-40|-32|-28|-27|-26|-25|-24|-22|-18|0,0,40.1
21,18,87,False,16,44,24,134,6,3008,4,4,-43.0,89.0,105,-36|-35|-32|-31|-29|-28|-27|-25|-24|-23|-21|-19|-18|-15|-13|-11|-8,0,43.8
22,18,45,False,15,44,24,62,5,2114,4,4,-54.0,92.0,102,-33|-27|-21|-20|-19|-18|-17|-15|-14|-12|-11|-10|-8|-7,0,31.4
23,19,10,False,15,44,23,80,4,2564,4,4,-54.0,86.0,110,-31|-26|-20|-19|-17|-16|-14|-13|-12|-11|-10|-8|-7|-4,0,32.5
24,18,89,False,16,44,22,104,5,3026,4,4,-54.0,79.0,110,-41|-37|-36|-35|-26|-25|-24|-21|-19|-18|-17|-13|-11|-9|-8|0,0,42.1
25,18,91,False,17,43,31,62,3,1494,4,4,-32.0,70.0,78,-32|-29|-22|-20|-19|-18|-17|-16|-15|-14|-12|-10|-9|-8|-7,0,23.8
26,18,97,True,18,43,30,60,3,2028,4,4,-32.0,67.0,79,-32|-29|-22|-20|-19|-18|-17|-16|-15|-14|-13|-12|-10|-9|-8|-7,0,29.6
27,18,98,True,18,43,28,56,3,1936,4,4,-28.0,56.0,61,-28|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7,0,27.5
28,18,20,True,18,43,26,52,3,2414,4,4,-16.0,56.0,61,-16|-15|-13|-12|-11|-10|-9|-8|-6,0,31.3
29,18,22,True,18,43,24,48,3,2930,4,4,-17.0,56.0,52,-17|-15|-14|-12|-11|-10|-8|-7,0,33.8
30,18,93,False,17,43,22,44,3,1564,4,4,-26.0,65.0,71,-26|-25|-24|-23|-20|-16|-15|-14|-12|-8|-7|-5|-4|-2,0,24.7
31,17,25,False,14,42,16,68,4,1856,6,8,-41.0,82.0,103,-25|-23|-22|-21|-19|-18|-15|-14|-10|-8|-6|-3,0,25.3
32,16,1,False,8,42,16,32,3,2158,5,6,-32.0,80.0,99,-30|-23|-17|-16|-12|-11|-10|-4,0,13.2
33,16,93,False,14,42,11,48,5,1792,3,3,-41.0,84.0,103,-34|-28|-26|-25|-23|-22|-18|-12|-11|-10,0,25.6
34,14,2,False,13,41,268,828,13,14608,3,1,-71.0,109.0,176,-63|-61|-59|-58|-57|-52|-49|-48|-46|-45|-44|-43|-42|-40|-39|-38|-37|-36|-35|-34|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-4|0,0,228.6
35,16,99,False,15,41,17,40,6,2324,4,4,-35.0,81.0,99,-29|-25|-18|-16|-12|-6|-4|-3|-2|-1|2|3,0,33.6
36,16,25,True,16,40,40,128,9,3080,3,1,-44.0,83.0,92,-35|-26|-24|-23|-19|-18|-16|-14|-13|-11|-10|-8|0,0,43.2
