rank,h11,poly_idx,favorable,h11_eff,tier2_score,clean_h0_3,h0_ge3,max_h0,n_chi3,n_k3_fib,n_ell_fib,d3_min,d3_max,d3_n_distinct,d3_clean_values,n_overflow,elapsed_s,cytools_version,poly_hash
1,17,63,False,13,45,198,922,40,14458,5,6,-91.0,119.0,196,-59|-57|-55|-54|-52|-48|-47|-46|-45|-44|-42|-41|-40|-39|-38|-37|-36|-35|-34|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-7|-6|-5|-1|0,0,190.1,,
2,18,34,False,13,45,189,730,16,12886,4,4,-81.0,116.0,181,-61|-58|-56|-55|-54|-53|-51|-49|-47|-46|-45|-44|-43|-42|-41|-40|-39|-38|-37|-36|-35|-34|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-5|0,0,178.0,,
3,17,90,False,13,45,148,542,16,21696,3,3,-62.0,108.0,157,-54|-53|-47|-45|-44|-43|-40|-39|-38|-37|-36|-34|-32|-31|-30|-29|-28|-27|-26|-24|-22|-20|-19|-18|-16|-14|-12|-10|-8|-6|0,0,229.1,,
4,15,61,False,13,45,103,338,4,13256,3,3,-59.0,98.0,146,-52|-46|-45|-43|-40|-39|-37|-36|-35|-34|-33|-32|-31|-30|-29|-28|-27|-26|-25|-24|-23|-22|-21|-19|-18|-17|-16|-15|-14|-13|-12|-8|-7|-5|-4,0,25.7,unknown,60088f1b268e
5,16,63,False,13,45,72,584,37,12736,4,4,-84.0,111.0,172,-58|-46|-43|-42|-39|-38|-37|-36|-35|-34|-33|-32|-30|-27|-26|-24|-23|-22|-21|-20|-19|-18|-17|-16|-15|-14|-13|-12|-11|-10|-9|-8|-6|-2|-1|1,0,165.2,,
6,19,16,False,12,45,69,564,27,7652,5,6,-74.0,113.0,168,-50|-44|-39|-35|-32|-31|-30|-29|-27|-26|-25|-24|-23|-22|-21|-20|-19|-15|-14|-13|-12|-11|-10|-9|-8|-5|-4|-3|-2|-1|1|6,0,10.9,unknown,93d7ebcdf32d
7,18,6,False,12,45,56,514,24,11180,3,3,-69.0,118.0,167,-45|-42|-40|-38|-36|-33|-32|-30|-29|-27|-26|-24|-23|-21|-20|-13|-10|-9|-7|-5|-2|-1|0|1|2|8,0,166.3,,
8,18,32,False,14,45,49,192,30,1672,4,4,-64.0,114.0,116,-44|-38|-32|-28|-26|-24|-23|-16|-14|-13|-10|-8|-7|-4|-3,0,7.4,unknown,7154d4008fea
9,17,53,False,14,45,45,174,10,1968,3,3,-61.0,108.0,139,-44|-40|-32|-26|-24|-23|-21|-20|-18|-16|-15|-14|-13|-12|-11|-10|-8|-6|-4|0,0,5.9,unknown,45057364b73f
10,15,94,False,14,45,36,126,10,1968,4,4,-64.0,108.0,121,-46|-40|-36|-32|-29|-28|-26|-25|-24|-22|-18|-14|-10|0,0,5.4,unknown,ef760661831f
