rank,poly_idx,score,gap,h11_eff,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
1,25,26,4,11,20,10,972,1,True,5255.162396214395,3,3,13,False,3,True,False,su(2) × su(3) × su(3) × su(2) × U(1)^3,0.8418970108032227
2,22,23,3,12,16,6,1658,2,False,0.0,5,6,11,False,6,True,True,su(2) × su(2) × su(3) × su(5) × U(1)^3,1.3177287578582764
3,6,25,2,13,6,18,1668,2,True,899.9999999998108,2,1,4,False,1,True,False,su(4) × su(4) × su(4) × su(2),3.0628767013549805
4,36,23,2,13,19,6,1752,4,False,0.0,3,1,11,False,1,True,False,su(3) × U(1)^8,1.6698107719421387
5,23,23,2,13,17,10,1512,4,False,0.0,4,6,15,False,6,True,True,su(3) × su(4) × su(2) × su(4) × U(1)^2,1.5450024604797363
6,86,22,2,13,10,9,1684,4,False,0.0,5,6,8,False,6,True,True,su(5) × su(2) × su(2) × su(4) × U(1)^1,1.6807734966278076
7,4,22,2,13,6,5,1230,1,False,0.0,5,6,4,False,6,True,True,su(5) × su(5) × su(3) × U(1)^3,1.8781559467315674
8,14,21,2,13,14,20,1264,0,False,0.0,2,1,8,False,1,True,False,su(3) × su(2) × su(4) × su(3) × U(1)^1,1.6299121379852295
9,94,26,1,14,36,10,1968,5,True,241.49999999999946,4,4,14,False,4,True,True,su(6) × su(6) × U(1)^3,2.502765655517578
10,67,26,1,14,31,10,1428,2,True,127.99999999999963,4,4,16,False,4,True,True,su(3) × su(4) × su(2) × su(5) × U(1)^1,2.310530185699463
11,227,26,1,14,14,7,2148,3,True,140.48655245489178,5,6,10,False,6,True,True,su(3) × su(4) × su(2) × su(5) × U(1)^2,3.5109472274780273
12,257,25,1,14,3,6,2066,10,True,13.999999999999943,5,6,3,False,6,True,True,su(7) × su(3) × su(2) × U(1)^2,3.289447546005249
13,161,23,1,14,16,6,2112,4,False,0.0,4,4,10,False,4,True,True,su(2) × su(2) × su(4) × su(5) × U(1)^2,2.270326852798462
14,48,23,1,14,12,8,2358,3,False,0.0,4,6,10,False,6,True,True,su(5) × su(3) × su(2) × su(4) × U(1)^1,4.083876848220825
15,91,22,1,14,19,13,2292,0,False,0.0,6,11,12,False,11,True,True,su(4) × su(4) × su(5) × U(1)^3,2.6264870166778564
16,62,22,1,14,6,5,2272,6,False,0.0,4,6,5,False,6,True,True,su(3) × su(5) × su(2) × su(3) × U(1)^2,2.3143489360809326
17,15,21,1,14,13,7,2110,0,False,0.0,5,6,7,False,6,True,True,su(5) × su(5) × su(3) × U(1)^3,3.3631672859191895
18,147,26,0,15,45,6,1946,1,True,15.497764224397713,2,1,19,True,1,True,False,su(2) × su(2) × su(2) × su(3) × su(3) × su(2) × U(1)^1,3.547513008117676
19,183,26,0,15,37,10,2516,5,True,1154.2698673311243,2,1,18,True,1,True,True,su(2) × su(6) × su(5) × U(1)^1,3.8027613162994385
20,214,26,0,15,34,15,2574,7,True,251.99999999999343,3,1,22,True,1,True,True,su(3) × su(6) × su(5) × U(1)^1,3.9260551929473877
21,399,26,0,15,34,10,2386,5,True,34.00000000000917,2,1,19,True,1,True,True,su(2) × su(6) × su(5) × U(1)^1,4.300842046737671
22,500,26,0,15,34,6,2024,4,True,123.98258646234628,2,1,13,True,1,True,True,su(2) × su(6) × su(5) × U(1)^1,4.661667108535767
23,133,26,0,15,26,10,2014,6,True,341.32231404964955,3,1,17,True,1,True,True,su(6) × su(6) × U(1)^2,2.7849602699279785
24,180,26,0,15,25,10,2308,6,True,881.8294917833143,4,4,19,True,4,True,True,su(6) × su(6),3.4922733306884766
25,356,26,0,15,25,10,2298,8,True,1137.499999999995,3,1,14,True,1,True,True,su(6) × su(7) × U(1)^2,4.148892402648926
26,189,26,0,15,24,6,2418,6,True,157.00000000000003,3,1,12,True,1,True,False,su(3) × su(3) × U(1)^6,3.7399380207061768
27,144,26,0,15,23,10,2080,5,True,312.4999999999293,3,1,13,True,1,True,True,su(6) × su(8) or e7 × U(1)^1,5.078909158706665
28,250,26,0,15,22,6,2896,7,True,1179.999999999056,4,4,14,True,4,True,True,su(6) × su(6),5.60712742805481
29,397,26,0,15,22,10,2162,7,True,88.99999999999295,3,3,14,True,3,True,True,su(3) × su(5) × su(5) × U(1)^1,3.661998748779297
30,190,26,0,15,19,9,2692,5,True,814.1666666678657,3,1,12,True,1,True,False,su(3) × su(3) × U(1)^6,4.78033709526062
31,252,26,0,15,19,10,2074,8,True,2799.4999999874403,3,1,11,True,1,True,True,su(8) or e7 × su(5) × U(1)^2,4.039472579956055
32,361,26,0,15,18,9,2074,10,True,2925.9999999999222,3,1,12,True,1,True,True,su(6) × su(7) × U(1)^2,2.8321681022644043
33,221,26,0,15,18,13,2008,8,True,472.4325450900595,3,1,13,True,1,True,True,su(6) × su(7) × U(1)^2,3.4821674823760986
34,191,26,0,15,17,6,2682,6,True,20.998650412438835,3,1,10,True,1,True,False,su(3) × su(3) × U(1)^6,4.66344952583313
35,192,26,0,15,16,6,2818,7,True,55.49999999999987,3,1,11,True,1,True,False,su(3) × su(3) × U(1)^6,4.376720428466797
36,391,26,0,15,15,6,2612,8,True,871.4999999999842,4,4,13,True,4,True,True,su(5) × su(7) × U(1)^1,3.655273675918579
37,33,25,0,15,16,10,2036,9,True,4640.256949987903,3,1,6,True,1,True,True,su(7) × su(6) × U(1)^2,4.106812238693237
38,196,25,0,15,12,8,2556,8,True,214.99999999994043,3,1,7,True,1,True,False,su(3) × su(3) × U(1)^6,3.7255918979644775
39,284,25,0,15,11,7,2928,7,True,951.9999999997331,3,1,9,True,1,True,False,su(3) × su(3) × U(1)^6,4.351219415664673
40,127,25,0,15,7,17,2062,8,True,193.49999999997613,3,1,7,True,1,True,True,su(9) or e8 × su(5) × U(1)^1,4.187213659286499
41,329,25,0,15,2,6,1904,8,True,1000.8119667899322,4,4,2,True,4,True,True,su(6) × su(5) × U(1)^2,3.0137228965759277
42,164,23,0,15,40,10,2272,3,False,0.0,2,1,13,True,1,True,False,su(3) × su(3) × U(1)^6,3.516688823699951
43,31,23,0,15,34,10,2770,3,False,0.0,2,1,18,True,1,True,False,su(3) × su(3) × U(1)^6,3.8387949466705322
44,145,23,0,15,34,10,2474,4,False,0.0,3,1,24,True,1,True,False,su(4) × su(2) × su(3) × su(4) × U(1)^1,5.273552417755127
45,521,23,0,15,33,6,2194,3,False,0.0,2,1,20,True,1,True,True,su(2) × su(6) × su(5) × U(1)^1,3.9010629653930664
46,146,23,0,15,28,10,2382,5,False,0.0,3,1,21,True,1,True,True,su(3) × su(6) × su(5) × U(1)^1,3.330902576446533
47,139,23,0,15,26,10,2132,8,False,0.0,3,1,17,True,1,True,True,su(6) × su(6) × U(1)^2,2.8240818977355957
48,207,23,0,15,24,6,2866,6,False,0.0,3,1,13,True,1,True,False,su(3) × su(3) × U(1)^6,3.2015328407287598
49,349,23,0,15,24,12,2364,3,False,0.0,2,1,17,True,1,True,True,su(2) × su(6) × su(5) × U(1)^1,4.351892471313477
50,328,23,0,15,23,7,2240,7,False,0.0,3,3,16,True,3,True,True,su(2) × su(2) × su(2) × su(4) × su(5),3.0407769680023193
51,345,23,0,15,21,6,2716,5,False,0.0,4,4,11,True,4,True,True,su(2) × su(3) × su(4) × su(5) × U(1)^1,3.9391231536865234
52,248,23,0,15,20,16,2248,2,False,0.0,2,1,11,True,1,True,False,su(3) × su(3) × su(2) × su(4) × su(2),4.973863124847412
