poly_idx,h11,h21,n_vertices,gl_order,min_chi_ray,n_tangent_points,has_integer_ample_chi3,has_continuous_tangency,t_star,nearest_miss_gap,error
0,13,16,11,1,21.0,0,False,True,0.38483594,,
1,13,16,13,1,17.0,0,False,True,0.39568957,,
2,13,16,13,1,11.0,0,False,True,0.44594483,,
3,14,17,8,1,10.0,0,False,True,0.42822236,,
4,,,10,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
5,,,10,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
6,,,11,,,0,False,False,,,unhandled: index 12 is out of bounds for axis 0 with size 12
7,,,11,,,0,False,False,,,unhandled: index 12 is out of bounds for axis 0 with size 12
8,,,10,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
9,14,17,11,1,8.0,0,False,True,0.46622052,2,
10,14,17,12,1,5.0,2,False,True,0.69572552,1,
11,,,11,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
12,,,11,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
13,,,11,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
14,14,17,11,1,2.0,14,True,True,1.5,0,
15,,,11,,,0,False,False,,,unhandled: index 12 is out of bounds for axis 0 with size 12
16,14,17,11,1,17.0,0,False,True,0.35173111,,
17,14,17,11,1,5.0,16,False,True,0.67359306,1,
18,14,17,11,1,2.0,6,False,True,1.5,1,
19,14,17,11,1,2.0,1,False,True,1.5,1,
20,,,12,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
21,,,12,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
22,,,12,,,0,False,False,,,unhandled: index 12 is out of bounds for axis 0 with size 12
23,14,17,12,2,2.0,10,False,True,1.5,1,
24,14,17,14,1,3.0,1,True,False,,0,
25,,,8,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
26,,,8,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
27,15,18,8,1,18.0,0,False,True,0.3854585,,
28,15,18,8,2,2.0,2,False,True,1.5,1,
29,,,10,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
30,15,18,11,1,12.0,0,False,True,0.41138913,,
31,,,10,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
32,,,9,,,0,False,False,,,unhandled: index 11 is out of bounds for axis 0 with size 11
33,15,18,9,2,5.0,13,False,True,0.65004828,1,
34,,,11,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
35,,,11,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
36,15,18,10,2,2.0,40,True,True,1.5,0,
37,15,18,10,4,5.0,14,False,True,0.65004828,1,
38,15,18,11,1,7.0,1,False,True,0.52831893,1,
39,,,10,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
40,,,10,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
41,15,18,11,1,2.0,5,False,True,1.5,1,
42,15,18,11,2,3.0,9,True,False,,0,
43,15,18,11,4,3.0,19,True,False,,0,
44,,,11,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
45,,,11,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
46,15,18,11,1,7.0,2,False,True,0.5188507,1,
47,,,11,,,0,False,False,,,unhandled: index 12 is out of bounds for axis 0 with size 12
48,,,11,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
49,,,11,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
50,15,18,11,1,23.0,0,False,True,0.35957682,,
51,,,11,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
52,,,11,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
53,15,18,11,1,23.0,0,False,True,0.34733634,,
54,,,11,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
55,,,12,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
56,15,18,11,2,2.0,17,True,True,1.5,0,
57,15,18,11,1,3.0,13,True,False,,0,
58,15,18,11,1,3.0,12,True,False,,0,
59,15,18,11,1,6.0,2,False,True,0.56409973,1,
60,15,18,11,2,3.0,25,True,False,,0,
61,,,11,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
62,,,11,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
63,,,11,,,0,False,False,,,unhandled: index 13 is out of bounds for axis 0 with size 13
64,15,18,11,1,2.0,0,False,True,1.5,2,
65,15,18,11,2,2.0,5,True,True,1.5,0,
66,15,18,11,1,2.0,4,False,True,1.5,1,
67,,,12,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
68,15,18,12,1,3.0,14,True,False,,0,
69,15,18,12,1,10.0,1,False,True,0.45661127,1,
70,15,18,12,2,3.0,10,True,False,,0,
71,,,12,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
72,15,18,12,1,21.0,0,False,True,0.36295564,,
73,,,12,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
74,15,18,12,1,3.0,5,True,False,,0,
75,15,18,12,1,16.0,0,False,True,0.35584102,,
76,15,18,12,1,3.0,9,True,False,,0,
77,15,18,12,1,3.0,11,True,False,,0,
78,15,18,12,1,3.0,8,True,False,,0,
79,15,18,12,1,2.0,32,False,True,1.5,1,
80,15,18,12,1,2.0,28,True,True,1.5,0,
81,15,18,12,2,2.0,37,False,True,1.5,1,
82,15,18,12,1,2.0,18,True,True,1.5,0,
83,,,12,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
84,15,18,12,1,3.0,8,True,False,,0,
85,15,18,13,1,20.0,0,False,True,0.34504399,,
86,15,18,12,1,23.0,0,False,True,0.34733634,,
87,,,12,,,0,False,False,,,unhandled: index 14 is out of bounds for axis 0 with size 14
88,15,18,12,1,4.0,4,False,True,0.79826485,1,
