rank,poly_idx,score,gap,h11_eff,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
1,43,26,4,12,21,10,1646,3,True,560.0000000000067,3,1,16,False,1,True,False,su(3) × U(1)^10,1.5763609409332275
2,73,25,4,12,12,12,1584,3,True,107.99999999989888,3,3,9,False,3,True,False,su(3) × su(2) × su(4) × U(1)^4,1.8017303943634033
3,472,25,4,12,8,5,1726,5,True,647.9999999999688,7,13,7,False,13,True,True,su(2) × su(4) × su(4) × su(2) × su(2) × U(1)^3,2.500337600708008
4,51,23,4,12,24,10,1408,6,False,0.0,3,1,14,False,1,True,False,su(3) × U(1)^10,1.3631227016448975
5,125,26,3,13,29,10,1548,3,True,563.9999999999975,4,4,11,False,4,True,True,su(4) × su(8) or e7 × U(1)^4,1.5281431674957275
6,342,26,3,13,24,10,1606,4,True,1271.9999999998481,4,4,13,False,4,True,True,su(5) × su(7) × U(1)^4,2.3843064308166504
7,11,26,3,13,19,10,1678,5,True,149.99999999999437,3,1,12,False,1,True,True,su(5) × su(7) × U(1)^4,2.5587103366851807
8,1646,26,3,13,19,6,1654,5,True,90.50000000000001,6,11,12,False,11,True,True,su(3) × su(6) × su(2) × su(3) × U(1)^3,2.3134148120880127
9,387,26,3,13,17,9,1474,4,True,1119.9999999999732,6,7,13,False,7,True,True,su(3) × su(5) × su(5) × U(1)^3,1.6878254413604736
10,416,26,3,13,17,10,1210,4,True,2342.9999999995835,3,1,12,False,1,True,True,su(6) × su(6) × U(1)^4,1.32366943359375
11,120,26,3,13,16,12,1334,3,True,199.9999999999991,5,6,12,False,6,True,True,su(2) × su(3) × su(4) × su(6) × U(1)^1,1.7166407108306885
12,82,25,3,13,12,6,1362,5,True,107.99999999998806,3,1,8,False,1,True,True,su(5) × su(7) × U(1)^4,1.5248398780822754
13,565,25,3,13,9,9,1802,3,True,46.49999999999992,5,8,9,False,8,True,True,su(2) × su(3) × su(3) × su(6) × U(1)^3,2.871493339538574
14,63,25,3,13,8,13,1406,5,True,836.1983471074336,4,4,8,False,4,True,True,su(4) × su(8) or e7 × U(1)^4,2.1032145023345947
15,206,25,3,13,6,7,1378,3,True,251.99999999999974,5,6,6,False,6,True,True,su(3) × su(2) × su(8) or e7 × U(1)^4,2.2010321617126465
16,483,25,3,13,4,7,1514,4,True,54.49999999999459,6,11,4,False,11,True,True,su(2) × su(3) × su(2) × su(4) × su(4) × U(1)^2,1.8861768245697021
17,116,23,3,13,34,17,1492,3,False,0.0,3,1,20,False,1,True,True,su(2) × su(5) × su(6) × U(1)^3,2.5387816429138184
18,124,23,3,13,25,10,1432,3,False,0.0,4,4,12,False,4,True,True,su(5) × su(7) × U(1)^4,1.4834885597229004
19,575,23,3,13,18,7,2094,5,False,0.0,6,7,14,False,7,True,True,su(3) × su(2) × su(2) × su(2) × su(5) × U(1)^3,3.249814987182617
20,217,23,3,13,18,10,1230,1,False,0.0,4,4,12,False,4,True,True,su(4) × su(3) × su(2) × su(3) × U(1)^4,2.5044333934783936
21,22,23,3,13,13,6,1324,3,False,0.0,4,6,10,False,6,True,True,su(4) × su(3) × su(4) × su(2) × U(1)^2,2.477121591567993
22,2038,23,3,13,12,9,2026,3,False,0.0,6,11,10,False,11,True,True,su(2) × su(4) × su(2) × su(5) × su(2) × U(1)^2,2.2823634147644043
